,geo_level,geo_code,geoid,name,total,No,Unspecified,Yes,province
102,municipality,KZN275,municipality-KZN275,Mtubatuba,37293,311,276,36706,KwaZulu-Natal
103,municipality,KZN281,municipality-KZN281,Mfolozi,26388,134,226,26028,KwaZulu-Natal
104,municipality,KZN283,municipality-KZN283,Ntambanana,16530,39,125,16366,KwaZulu-Natal
105,municipality,KZN284,municipality-KZN284,uMlalazi,45337,296,250,44791,KwaZulu-Natal
106,municipality,KZN285,municipality-KZN285,Mthonjaneni,9718,89,26,9603,KwaZulu-Natal
107,municipality,KZN286,municipality-KZN286,Nkandla,24302,40,72,24190,KwaZulu-Natal
108,municipality,KZN291,municipality-KZN291,Mandeni,29135,376,109,28650,KwaZulu-Natal
109,municipality,KZN293,municipality-KZN293,Ndwedwe,29554,73,114,29367,KwaZulu-Natal
110,municipality,KZN294,municipality-KZN294,Maphumulo,20652,45,126,20481,KwaZulu-Natal
111,municipality,KZN431,municipality-KZN431,Ingwe,20904,92,72,20740,KwaZulu-Natal
112,municipality,KZN432,municipality-KZN432,Kwa Sani,2258,23,9,2226,KwaZulu-Natal
113,municipality,KZN434,municipality-KZN434,Ubuhlebezwe,21054,68,94,20892,KwaZulu-Natal
114,municipality,KZN435,municipality-KZN435,Umzimkhulu,39335,94,240,39001,Limpopo
115,municipality,LIM331,municipality-LIM331,Greater Giyani,57527,1240,160,56127,Limpopo
116,municipality,LIM332,municipality-LIM332,Greater Letaba,49850,1752,134,47964,Limpopo
117,municipality,LIM333,municipality-LIM333,Greater Tzaneen,82671,2103,202,80366,Limpopo
118,municipality,LIM335,municipality-LIM335,Maruleng,20622,261,62,20299,Limpopo
119,municipality,LIM341,municipality-LIM341,Musina,12886,4274,129,8483,Limpopo
120,municipality,LIM342,municipality-LIM342,Mutale,20359,384,70,19905,Limpopo
121,municipality,LIM343,municipality-LIM343,Thulamela,141558,4458,402,136698,Limpopo
122,municipality,LIM344,municipality-LIM344,Makhado,109391,3639,334,105418,Limpopo
123,municipality,LIM351,municipality-LIM351,Blouberg,36381,850,94,35437,Limpopo
124,municipality,LIM353,municipality-LIM353,Molemole,22480,993,51,21436,Limpopo
125,municipality,LIM354,municipality-LIM354,Polokwane,131206,4638,385,126183,Limpopo
126,municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,47559,734,121,46704,Limpopo
127,municipality,LIM361,municipality-LIM361,Thabazimbi,12940,1162,61,11717,Limpopo
128,municipality,LIM362,municipality-LIM362,Lephalale,22419,1469,94,20856,Limpopo
129,municipality,LIM365,municipality-LIM365,Modimolle,12380,787,56,11537,Limpopo
130,municipality,LIM366,municipality-LIM366,Bela-Bela,11262,572,36,10654,Eastern Cape
131,municipality,BUF,municipality-BUF,Buffalo City,136181,1370,641,134170,Eastern Cape
132,municipality,EC101,municipality-EC101,Camdeboo,8274,31,32,8211,Eastern Cape
133,municipality,EC105,municipality-EC105,Ndlambe,9536,158,41,9337,Eastern Cape
134,municipality,EC122,municipality-EC122,Mnquma,49060,170,189,48701,Eastern Cape
135,municipality,EC128,municipality-EC128,Nxuba,3877,51,9,3817,Eastern Cape
136,municipality,EC135,municipality-EC135,Intsika Yethu,26432,224,111,26097,Eastern Cape
137,municipality,EC144,municipality-EC144,Gariep,5799,66,18,5715,Eastern Cape
138,municipality,EC157,municipality-EC157,King Sabata Dalindyebo,99986,733,466,98787,Eastern Cape
139,municipality,NMA,municipality-NMA,Nelson Mandela Bay,208282,3670,973,203639,Eastern Cape
140,municipality,FS164,municipality-FS164,Naledi,4785,126,10,4649,Free State
141,municipality,FS191,municipality-FS191,Setsoto,21337,426,34,20877,Free State
142,municipality,FS196,municipality-FS196,Mantsopa,9643,274,18,9351,Free State
143,municipality,MAN,municipality-MAN,Mangaung,146807,4040,433,142334,Free State
144,municipality,EKU,municipality-EKU,Ekurhuleni,564110,37309,3470,523331,Gauteng
145,municipality,GT422,municipality-GT422,Midvaal,15038,1246,133,13659,Gauteng
146,municipality,GT484,municipality-GT484,Merafong City,33221,2385,206,30630,Gauteng
147,municipality,JHB,municipality-JHB,City of Johannesburg,767187,88966,6756,671465,Gauteng
148,municipality,TSH,municipality-TSH,City of Tshwane,524206,33748,3223,487235,Gauteng
149,municipality,ETH,municipality-ETH,eThekwini,697570,10758,4405,682407,KwaZulu-Natal
150,municipality,KZN216,municipality-KZN216,Hibiscus Coast,49407,233,293,48881,KwaZulu-Natal
151,municipality,KZN227,municipality-KZN227,Richmond,12625,179,26,12420,KwaZulu-Natal
152,municipality,KZN241,municipality-KZN241,Endumeni,12606,99,42,12465,KwaZulu-Natal
153,municipality,KZN253,municipality-KZN253,Emadlangeni,6444,46,10,6388,KwaZulu-Natal
154,municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33535,189,142,33204,KwaZulu-Natal
155,municipality,KZN282,municipality-KZN282,uMhlathuze,68950,752,372,67826,KwaZulu-Natal
156,municipality,KZN292,municipality-KZN292,KwaDukuza,45473,1680,131,43662,KwaZulu-Natal
157,municipality,KZN433,municipality-KZN433,Greater Kokstad,13606,135,61,13410,KwaZulu-Natal
158,municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,30036,756,90,29190,KwaZulu-Natal
159,municipality,LIM352,municipality-LIM352,Aganang,27546,295,66,27185,Limpopo
160,municipality,LIM364,municipality-LIM364,Mookgopong,6074,920,34,5120,Limpopo
161,municipality,LIM367,municipality-LIM367,Mogalakwena,64077,1262,149,62666,Limpopo
162,municipality,LIM471,municipality-LIM471,Ephraim Mogale,25344,1601,108,23635,Limpopo
163,municipality,LIM472,municipality-LIM472,Elias Motsoaledi,52346,1404,134,50808,Limpopo
164,municipality,LIM473,municipality-LIM473,Makhuduthamaga,56376,406,126,55844,Limpopo
165,municipality,LIM474,municipality-LIM474,Fetakgomo,19289,167,99,19023,Limpopo
166,municipality,LIM475,municipality-LIM475,Greater Tubatse,71224,899,169,70156,Limpopo
167,municipality,MP301,municipality-MP301,Albert Luthuli,41565,956,106,40503,Limpopo
168,municipality,MP302,municipality-MP302,Msukaligwa,28685,481,122,28082,Mpumalanga
169,municipality,MP304,municipality-MP304,Pixley Ka Seme,15939,131,51,15757,Mpumalanga
170,municipality,MP305,municipality-MP305,Lekwa,20777,305,56,20416,Mpumalanga
171,municipality,MP306,municipality-MP306,Dipaleseng,7927,93,34,7800,Mpumalanga
172,municipality,MP307,municipality-MP307,Govan Mbeki,56242,1795,303,54144,Mpumalanga
173,municipality,MP312,municipality-MP312,Emalahleni,74978,3308,309,71361,Mpumalanga
174,municipality,MP313,municipality-MP313,Steve Tshwete,41011,1585,228,39198,Mpumalanga
175,municipality,MP314,municipality-MP314,Emakhazeni,8434,231,25,8178,Mpumalanga
176,municipality,MP315,municipality-MP315,Thembisile,64643,1013,233,63397,Mpumalanga
177,municipality,MP316,municipality-MP316,Dr JS Moroka,52032,646,151,51235,Mpumalanga
178,municipality,MP321,municipality-MP321,Thaba Chweu,16702,716,97,15889,Mpumalanga
179,municipality,MP323,municipality-MP323,Umjindi,12035,781,55,11199,Mpumalanga
180,municipality,MP324,municipality-MP324,Nkomazi,92194,6800,725,84669,Mpumalanga
181,municipality,MP325,municipality-MP325,Bushbuckridge,125754,822,301,124631,Mpumalanga
182,municipality,NW371,municipality-NW371,Moretele,35190,557,73,34560,Mpumalanga
183,municipality,NW372,municipality-NW372,Madibeng,86076,9710,367,75999,North West
184,municipality,NW374,municipality-NW374,Kgetlengrivier,8810,344,42,8424,North West
185,municipality,NW375,municipality-NW375,Moses Kotane,42599,1026,114,41459,North West
186,municipality,NW381,municipality-NW381,Ratlou,19712,117,46,19549,North West
187,municipality,NW382,municipality-NW382,Tswaing,23271,129,38,23104,North West
188,municipality,NW383,municipality-NW383,Mafikeng,58043,1052,133,56858,North West
189,municipality,NW385,municipality-NW385,Ramotshere Moiloa,26142,439,50,25653,North West
190,municipality,NW392,municipality-NW392,Naledi,11813,128,35,11650,North West
191,municipality,NW393,municipality-NW393,Mamusa,11126,97,21,11008,North West
192,municipality,NW394,municipality-NW394,Greater Taung,33441,233,100,33108,North West
193,municipality,NW397,municipality-NW397,Kagisano/Molopo,18691,150,137,18404,North West
194,municipality,NW401,municipality-NW401,Ventersdorp,9913,161,23,9729,North West
195,municipality,NW402,municipality-NW402,Tlokwe City Council,32779,716,135,31928,North West
196,municipality,NW403,municipality-NW403,City of Matlosana,70522,2113,219,68190,North West
197,municipality,NW404,municipality-NW404,Maquassi Hills,14123,123,35,13965,North West
198,municipality,NC061,municipality-NC061,Richtersveld,1723,6,6,1711,North West
199,municipality,NC064,municipality-NC064,Kamiesberg,1308,6,1,1301,Northern Cape
200,municipality,NC065,municipality-NC065,Hantam,3311,17,11,3283,Northern Cape
201,municipality,NC066,municipality-NC066,Karoo Hoogland,1605,2,2,1601,Northern Cape
202,municipality,NC067,municipality-NC067,Khâi-Ma,2158,15,9,2134,Northern Cape
203,municipality,NC072,municipality-NC072,Umsobomvu,4798,48,5,4745,Northern Cape
204,municipality,NC073,municipality-NC073,Emthanjeni,7070,65,11,6994,Northern Cape
205,municipality,NC074,municipality-NC074,Kareeberg,1739,6,0,1733,Northern Cape
206,municipality,NC075,municipality-NC075,Renosterberg,1727,16,17,1694,Northern Cape
207,municipality,NC076,municipality-NC076,Thembelihle,2697,24,4,2669,Northern Cape
208,municipality,NC078,municipality-NC078,Siyancuma,6170,49,22,6099,Northern Cape
209,municipality,NC081,municipality-NC081,Mier,1132,12,1,1119,Northern Cape
