geo_level,geo_code,geoid,name,total,Both parents,Both parents-Female,Both parents-Male,Father only,Father only-Female,Father only-Male,Mother only,Mother only-Female,Mother only-Male,Neither parent,Neither parent-Female,Neither parent-Male
municipality,LIM342,municipality-LIM342,Mutale,12042,2511,1193,1318,424,176,248,4771,2321,2450,4336,2229,2107
municipality,LIM343,municipality-LIM343,Thulamela,79699,17224,8304,8920,2530,1121,1409,31680,15670,16010,28265,14342,13923
municipality,LIM344,municipality-LIM344,Makhado,62025,12731,6290,6441,2050,863,1187,23570,11873,11697,23674,11260,12414
municipality,LIM351,municipality-LIM351,Blouberg,21723,3041,1482,1559,518,233,285,8176,4129,4047,9988,4936,5052
municipality,LIM353,municipality-LIM353,Molemole,12876,2056,1020,1036,353,163,190,4729,2364,2365,5738,2658,3080
municipality,LIM354,municipality-LIM354,Polokwane,63594,15166,7586,7580,2039,1002,1037,22545,11539,11006,23844,11968,11876
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,27746,5099,2485,2614,747,366,381,10836,5350,5486,11064,5366,5698
municipality,LIM361,municipality-LIM361,Thabazimbi,4340,1142,588,554,196,90,106,1281,645,636,1721,900,821
municipality,LIM362,municipality-LIM362,Lephalale,9483,1858,911,947,283,126,157,3132,1581,1551,4210,2078,2132
municipality,LIM365,municipality-LIM365,Modimolle,5652,1416,687,729,189,92,97,2032,1017,1015,2015,964,1051
municipality,LIM366,municipality-LIM366,Bela-Bela,4872,1229,632,597,164,71,93,1810,921,889,1669,822,847
municipality,BUF,municipality-BUF,Buffalo City,67021,14412,7227,7185,2945,1351,1594,22971,11899,11072,26693,13683,13010
municipality,EC101,municipality-EC101,Camdeboo,4483,1114,558,556,162,71,91,1301,640,661,1906,933,973
municipality,EC105,municipality-EC105,Ndlambe,4856,1154,593,561,218,91,127,1641,823,818,1843,927,916
municipality,EC122,municipality-EC122,Mnquma,30913,4764,2324,2440,1228,519,709,9491,4677,4814,15430,7264,8166
municipality,EC128,municipality-EC128,Nxuba,2082,387,184,203,56,22,34,599,311,288,1040,475,565
municipality,EC135,municipality-EC135,Intsika Yethu,16762,2467,1150,1317,641,276,365,5126,2422,2704,8528,3811,4717
municipality,EC144,municipality-EC144,Gariep,3034,545,266,279,122,55,67,787,388,399,1580,777,803
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,58059,9051,4494,4557,2146,938,1208,20342,10290,10052,26520,13457,13063
municipality,NMA,municipality-NMA,Nelson Mandela Bay,99628,29857,14729,15128,5129,2411,2718,33148,16925,16223,31494,16193,15301
municipality,FS164,municipality-FS164,Naledi,2565,449,231,218,84,42,42,776,396,380,1256,614,642
municipality,FS191,municipality-FS191,Setsoto,11087,2312,1160,1152,380,170,210,3458,1756,1702,4937,2461,2476
municipality,FS196,municipality-FS196,Mantsopa,5041,1087,531,556,191,92,99,1439,743,696,2324,1151,1173
municipality,MAN,municipality-MAN,Mangaung,69185,17003,8400,8603,2771,1229,1542,21677,11055,10622,27734,14320,13414
municipality,EKU,municipality-EKU,Ekurhuleni,233269,66842,33709,33133,13147,5799,7348,76885,39890,36995,76395,38804,37591
municipality,GT422,municipality-GT422,Midvaal,6747,2324,1152,1172,381,174,207,1997,1030,967,2045,1050,995
municipality,GT484,municipality-GT484,Merafong City,14595,3588,1789,1799,811,366,445,4633,2440,2193,5563,2943,2620
municipality,JHB,municipality-JHB,City of Johannesburg,300056,73316,36709,36607,14464,6409,8055,101866,52945,48921,110410,57007,53403
municipality,TSH,municipality-TSH,City of Tshwane,215550,65523,32533,32990,9742,4320,5422,70714,36428,34286,69571,36319,33252
municipality,ETH,municipality-ETH,eThekwini,318802,75674,37669,38005,16353,7361,8992,104766,54131,50635,122009,62954,59055
municipality,KZN216,municipality-KZN216,Hibiscus Coast,25613,4907,2436,2471,996,450,546,9048,4643,4405,10662,5502,5160
municipality,KZN227,municipality-KZN227,Richmond,6581,886,423,463,221,98,123,2298,1202,1096,3176,1573,1603
municipality,KZN241,municipality-KZN241,Endumeni,6705,1291,611,680,269,112,157,2275,1177,1098,2870,1407,1463
municipality,KZN253,municipality-KZN253,Emadlangeni,3619,789,341,448,130,67,63,1109,539,570,1591,769,822
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,19703,3718,1769,1949,837,384,453,7996,3979,4017,7152,3724,3428
municipality,KZN282,municipality-KZN282,uMhlathuze,33302,7440,3753,3687,1701,767,934,10482,5410,5072,13679,7257,6422
municipality,KZN292,municipality-KZN292,KwaDukuza,21364,4979,2494,2485,926,404,522,7173,3739,3434,8286,4338,3948
municipality,KZN433,municipality-KZN433,Greater Kokstad,6758,1081,548,533,274,129,145,2302,1202,1100,3101,1645,1456
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,14562,3902,1891,2011,535,230,305,5268,2729,2539,4857,2654,2203
municipality,LIM352,municipality-LIM352,Aganang,17064,2880,1381,1499,570,286,284,5802,2881,2921,7812,3597,4215
municipality,LIM364,municipality-LIM364,Mookgopong,2333,593,270,323,53,23,30,845,442,403,842,413,429
municipality,LIM367,municipality-LIM367,Mogalakwena,35836,6327,3141,3186,977,436,541,12938,6480,6458,15594,7504,8090
municipality,LIM471,municipality-LIM471,Ephraim Mogale,13830,2155,1058,1097,395,173,222,5143,2537,2606,6137,2919,3218
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,28963,4579,2314,2265,939,454,485,10583,5358,5225,12862,6241,6621
municipality,LIM473,municipality-LIM473,Makhuduthamaga,33293,6071,2982,3089,837,390,447,14608,7311,7297,11777,5660,6117
municipality,LIM474,municipality-LIM474,Fetakgomo,11046,2340,1129,1211,319,149,170,4693,2366,2327,3694,1885,1809
municipality,LIM475,municipality-LIM475,Greater Tubatse,36671,8789,4320,4469,1010,487,523,14357,7137,7220,12515,6296,6219
municipality,MP301,municipality-MP301,Albert Luthuli,23810,3248,1662,1586,774,349,425,7983,4089,3894,11805,5769,6036
municipality,MP302,municipality-MP302,Msukaligwa,14109,3371,1670,1701,620,290,330,4538,2308,2230,5580,2800,2780
municipality,MP304,municipality-MP304,Pixley Ka Seme,8730,1559,786,773,307,136,171,2817,1472,1345,4047,1996,2051
municipality,MP305,municipality-MP305,Lekwa,10188,2769,1393,1376,500,201,299,3189,1613,1576,3730,1884,1846
municipality,MP306,municipality-MP306,Dipaleseng,3902,901,451,450,180,74,106,1199,593,606,1622,818,804
municipality,MP307,municipality-MP307,Govan Mbeki,25588,7149,3573,3576,1402,639,763,7987,4070,3917,9050,4537,4513
municipality,MP312,municipality-MP312,Emalahleni,32186,10110,5035,5075,1734,756,978,9882,5077,4805,10460,5363,5097
municipality,MP313,municipality-MP313,Steve Tshwete,18324,5332,2710,2622,1015,462,553,5790,2970,2820,6187,3047,3140
municipality,MP314,municipality-MP314,Emakhazeni,4031,835,415,420,131,59,72,1474,752,722,1591,791,800
municipality,MP315,municipality-MP315,Thembisile,34310,7911,3982,3929,1298,609,689,12200,6388,5812,12901,6308,6593
municipality,MP316,municipality-MP316,Dr JS Moroka,28908,5453,2684,2769,1090,476,614,9846,5025,4821,12519,6072,6447
municipality,MP321,municipality-MP321,Thaba Chweu,7677,1857,932,925,314,139,175,2535,1273,1262,2971,1496,1475
municipality,MP323,municipality-MP323,Umjindi,5910,1289,672,617,319,149,170,1977,1029,948,2325,1206,1119
municipality,MP324,municipality-MP324,Nkomazi,50430,7672,3788,3884,1966,882,1084,18170,9224,8946,22622,11372,11250
municipality,MP325,municipality-MP325,Bushbuckridge,70948,12524,6185,6339,2124,939,1185,27632,14116,13516,28668,14172,14496
municipality,NW371,municipality-NW371,Moretele,18664,4177,2100,2077,682,328,354,6267,3207,3060,7538,3576,3962
municipality,NW372,municipality-NW372,Madibeng,36488,9834,4933,4901,1645,702,943,11848,6103,5745,13161,6413,6748
municipality,NW374,municipality-NW374,Kgetlengrivier,4094,1142,550,592,169,89,80,1102,556,546,1681,882,799
municipality,NW375,municipality-NW375,Moses Kotane,21353,4562,2216,2346,763,357,406,7478,3680,3798,8550,4067,4483
municipality,NW381,municipality-NW381,Ratlou,11683,1675,802,873,330,144,186,3684,1911,1773,5994,2883,3111
municipality,NW382,municipality-NW382,Tswaing,12434,2880,1427,1453,488,249,239,3424,1733,1691,5642,2733,2909
municipality,NW383,municipality-NW383,Mafikeng,30837,7326,3642,3684,1070,481,589,10498,5348,5150,11943,6198,5745
municipality,NW385,municipality-NW385,Ramotshere Moiloa,14020,2597,1279,1318,409,200,209,5254,2640,2614,5760,2877,2883
municipality,NW392,municipality-NW392,Naledi,5993,1256,651,605,188,79,109,1956,1002,954,2593,1290,1303
municipality,NW393,municipality-NW393,Mamusa,5732,1182,580,602,232,103,129,1554,754,800,2764,1333,1431
municipality,NW394,municipality-NW394,Greater Taung,19709,2485,1208,1277,580,272,308,6660,3376,3284,9984,4868,5116
municipality,NW397,municipality-NW397,Kagisano/Molopo,10976,1424,718,706,267,109,158,3949,2031,1918,5336,2590,2746
municipality,NW401,municipality-NW401,Ventersdorp,4506,914,448,466,167,66,101,1359,697,662,2066,962,1104
municipality,NW402,municipality-NW402,Tlokwe City Council,13770,3618,1831,1787,502,241,261,4152,2058,2094,5498,2915,2583
municipality,NW403,municipality-NW403,City of Matlosana,33962,9107,4380,4727,1595,703,892,11147,5729,5418,12113,6081,6032
municipality,NW404,municipality-NW404,Maquassi Hills,6786,1668,826,842,323,149,174,1729,901,828,3066,1557,1509
municipality,NC061,municipality-NC061,Richtersveld,877,307,148,159,29,8,21,301,125,176,240,118,122
municipality,NC064,municipality-NC064,Kamiesberg,653,128,57,71,30,9,21,256,131,125,239,90,149
municipality,NC065,municipality-NC065,Hantam,1760,641,282,359,68,26,42,484,255,229,567,283,284
municipality,NC066,municipality-NC066,Karoo Hoogland,893,251,123,128,29,14,15,251,140,111,362,168,194
municipality,NC067,municipality-NC067,Khâi-Ma,927,173,84,89,31,11,20,312,138,174,411,182,229
municipality,NC072,municipality-NC072,Umsobomvu,2595,486,204,282,99,43,56,770,398,372,1240,611,629
municipality,NC073,municipality-NC073,Emthanjeni,3839,951,500,451,162,71,91,1115,538,577,1611,832,779
municipality,NC074,municipality-NC074,Kareeberg,905,187,104,83,27,16,11,281,148,133,410,223,187
municipality,NC075,municipality-NC075,Renosterberg,869,172,80,92,34,17,17,234,117,117,429,185,244
municipality,NC076,municipality-NC076,Thembelihle,1411,412,203,209,68,26,42,358,176,182,573,309,264
municipality,NC078,municipality-NC078,Siyancuma,3385,841,431,410,113,48,65,969,489,480,1462,731,731
municipality,NC081,municipality-NC081,Mier,584,178,79,99,34,16,18,175,87,88,197,106,91
municipality,NC082,municipality-NC082,Kai !Garib,5997,1296,652,644,202,92,110,1480,721,759,3019,1442,1577
municipality,NC083,municipality-NC083,//Khara Hais,9011,2625,1282,1343,332,150,182,2985,1530,1455,3069,1548,1521
municipality,NC084,municipality-NC084,!Kheis,1370,367,178,189,57,25,32,400,215,185,546,286,260
municipality,NC086,municipality-NC086,Kgatelopele,1691,512,219,293,88,45,43,439,220,219,652,304,348
municipality,NC091,municipality-NC091,Sol Plaatjie,21901,5805,2916,2889,885,422,463,7615,3875,3740,7596,3825,3771
municipality,NC092,municipality-NC092,Dikgatlong,4178,1011,487,524,184,106,78,1304,638,666,1679,874,805
municipality,NC093,municipality-NC093,Magareng,2235,418,209,209,80,36,44,648,331,317,1089,540,549
municipality,NC451,municipality-NC451,Joe Morolong,9344,1285,608,677,285,129,156,3427,1742,1685,4347,2114,2233
municipality,NC452,municipality-NC452,Ga-Segonyana,9521,2037,1005,1032,318,163,155,3082,1546,1536,4084,2060,2024
municipality,NC453,municipality-NC453,Gamagara,3003,899,443,456,144,69,75,844,464,380,1116,562,554
municipality,CPT,municipality-CPT,City of Cape Town,294769,104158,52078,52080,13834,6490,7344,99276,51468,47808,77501,41702,35799
municipality,WC011,municipality-WC011,Matzikama,5694,2044,971,1073,264,118,146,1671,870,801,1715,928,787
municipality,WC013,municipality-WC013,Bergrivier,4760,2026,1043,983,185,89,96,1379,697,682,1170,599,571
municipality,WC014,municipality-WC014,Saldanha Bay,7650,3097,1489,1608,367,163,204,2341,1217,1124,1845,935,910
municipality,WC015,municipality-WC015,Swartland,8770,3901,1993,1908,307,138,169,2434,1278,1156,2128,1140,988
municipality,WC022,municipality-WC022,Witzenberg,9846,3606,1768,1838,403,198,205,2943,1486,1457,2894,1486,1408
municipality,WC023,municipality-WC023,Drakenstein,21905,8582,4249,4333,1028,473,555,7231,3629,3602,5064,2664,2400
municipality,WC025,municipality-WC025,Breede Valley,14680,5360,2694,2666,533,260,273,4959,2501,2458,3828,2050,1778
municipality,WC026,municipality-WC026,Langeberg,8540,3140,1539,1601,396,166,230,2774,1427,1347,2230,1156,1074
municipality,WC031,municipality-WC031,Theewaterskloof,8954,3333,1662,1671,425,184,241,2745,1426,1319,2451,1242,1209
municipality,WC032,municipality-WC032,Overstrand,5038,1780,913,867,211,83,128,1469,779,690,1578,853,725
municipality,WC034,municipality-WC034,Swellendam,2919,1219,602,617,141,63,78,754,338,416,805,395,410
municipality,WC041,municipality-WC041,Kannaland,2099,745,383,362,98,43,55,615,301,314,641,344,297
municipality,WC042,municipality-WC042,Hessequa,3955,1653,837,816,162,78,84,1109,540,569,1031,552,479
municipality,WC043,municipality-WC043,Mossel Bay,6515,1767,840,927,326,174,152,2069,1106,963,2353,1203,1150
