geo_level,geo_code,geoid,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male
municipality,KZN234,municipality-KZN234,Umtshezi,15873,12041,6034,6007,3832,2099,1733
municipality,KZN235,municipality-KZN235,Okhahlamba,25783,19819,9945,9874,5964,3227,2737
municipality,KZN236,municipality-KZN236,Imbabazane,23737,19209,9568,9641,4528,2491,2037
municipality,KZN242,municipality-KZN242,Nqutu,34783,26637,13563,13074,8146,4458,3688
municipality,KZN244,municipality-KZN244,Msinga,35850,22569,12098,10471,13281,7332,5949
municipality,KZN245,municipality-KZN245,Umvoti,20636,16295,8571,7724,4341,2404,1937
municipality,KZN252,municipality-KZN252,Newcastle,73880,63563,31445,32118,10317,5770,4547
municipality,KZN254,municipality-KZN254,Dannhauser,21537,16464,7915,8549,5073,2773,2300
municipality,KZN261,municipality-KZN261,eDumbe,16848,13615,6796,6819,3233,1736,1497
municipality,KZN262,municipality-KZN262,UPhongolo,27541,21049,10445,10604,6492,3639,2853
municipality,KZN263,municipality-KZN263,Abaqulusi,40911,32826,16064,16762,8085,4447,3638
municipality,KZN265,municipality-KZN265,Nongoma,42162,28212,14331,13881,13950,7568,6382
municipality,KZN266,municipality-KZN266,Ulundi,38362,28815,14752,14063,9547,5213,4334
municipality,KZN272,municipality-KZN272,Jozini,41149,30308,15473,14835,10841,5922,4919
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,6914,5096,2568,2528,1818,980,838
municipality,KZN274,municipality-KZN274,Hlabisa,15790,9492,4735,4757,6298,3350,2948
municipality,KZN275,municipality-KZN275,Mtubatuba,36276,24931,12601,12330,11345,6098,5247
municipality,KZN281,municipality-KZN281,Mfolozi,26098,17154,8535,8619,8944,4673,4271
municipality,KZN283,municipality-KZN283,Ntambanana,16405,8390,4108,4282,8015,4222,3793
municipality,KZN284,municipality-KZN284,uMlalazi,43175,27419,13712,13707,15756,8465,7291
municipality,KZN285,municipality-KZN285,Mthonjaneni,9286,5911,2937,2974,3375,1860,1515
municipality,KZN286,municipality-KZN286,Nkandla,23899,15984,8120,7864,7915,4351,3564
municipality,KZN291,municipality-KZN291,Mandeni,28589,23736,11713,12023,4853,2740,2113
municipality,KZN293,municipality-KZN293,Ndwedwe,29382,19351,9493,9858,10031,5333,4698
municipality,KZN294,municipality-KZN294,Maphumulo,20518,15500,8032,7468,5018,2800,2218
municipality,KZN431,municipality-KZN431,Ingwe,20490,14591,7201,7390,5899,3146,2753
municipality,KZN432,municipality-KZN432,Kwa Sani,1506,1281,577,704,225,116,109
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,20576,15286,7528,7758,5290,2838,2452
municipality,KZN435,municipality-KZN435,Umzimkhulu,38765,33093,17041,16052,5672,3263,2409
municipality,LIM331,municipality-LIM331,Greater Giyani,56757,49482,24999,24483,7275,4063,3212
municipality,LIM332,municipality-LIM332,Greater Letaba,49092,45115,22266,22849,3977,2116,1861
municipality,LIM333,municipality-LIM333,Greater Tzaneen,81999,73725,36462,37263,8274,4698,3576
municipality,LIM335,municipality-LIM335,Maruleng,20328,18844,9399,9445,1484,844,640
municipality,LIM341,municipality-LIM341,Musina,11758,9134,4635,4499,2624,1522,1102
municipality,LIM342,municipality-LIM342,Mutale,20148,17617,8739,8878,2531,1412,1119
municipality,LIM343,municipality-LIM343,Thulamela,140302,121947,60598,61349,18355,10050,8305
municipality,LIM344,municipality-LIM344,Makhado,107827,96722,47666,49056,11105,6153,4952
municipality,LIM351,municipality-LIM351,Blouberg,36014,32154,16167,15987,3860,2145,1715
municipality,LIM353,municipality-LIM353,Molemole,22272,20477,9985,10492,1795,988,807
municipality,LIM354,municipality-LIM354,Polokwane,128257,117531,58974,58557,10726,6121,4605
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,47073,43640,21626,22014,3433,1949,1484
municipality,LIM361,municipality-LIM361,Thabazimbi,11155,9690,4489,5201,1465,792,673
municipality,LIM362,municipality-LIM362,Lephalale,21068,19122,9116,10006,1946,1027,919
municipality,LIM365,municipality-LIM365,Modimolle,11501,10445,5185,5260,1056,547,509
municipality,LIM366,municipality-LIM366,Bela-Bela,10872,9349,4541,4808,1523,854,669
municipality,BUF,municipality-BUF,Buffalo City,129749,103934,51912,52022,25815,14213,11602
municipality,EC101,municipality-EC101,Camdeboo,8048,6582,3181,3401,1466,795,671
municipality,EC105,municipality-EC105,Ndlambe,9394,7979,3876,4103,1415,772,643
municipality,EC122,municipality-EC122,Mnquma,48577,29085,13635,15450,19492,10005,9487
municipality,EC128,municipality-EC128,Nxuba,3803,3207,1515,1692,596,310,286
municipality,EC135,municipality-EC135,Intsika Yethu,26064,12433,5421,7012,13631,6630,7001
municipality,EC144,municipality-EC144,Gariep,5726,4732,2240,2492,994,528,466
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,96109,61723,30742,30981,34386,18623,15763
municipality,NMA,municipality-NMA,Nelson Mandela Bay,202187,183455,91604,91851,18732,10270,8462
municipality,FS164,municipality-FS164,Naledi,4735,4069,2027,2042,666,395,271
municipality,FS191,municipality-FS191,Setsoto,21085,18077,9158,8919,3008,1661,1347
municipality,FS196,municipality-FS196,Mantsopa,9551,8021,4026,3995,1530,832,698
municipality,MAN,municipality-MAN,Mangaung,141271,124823,62790,62033,16448,9152,7296
municipality,EKU,municipality-EKU,Ekurhuleni,523587,449400,218626,230774,74187,42246,31941
municipality,GT422,municipality-GT422,Midvaal,14222,12807,6204,6603,1415,760,655
municipality,GT484,municipality-GT484,Merafong City,31420,27251,13445,13806,4169,2356,1813
municipality,JHB,municipality-JHB,City of Johannesburg,683217,569573,281859,287714,113644,63173,50471
municipality,TSH,municipality-TSH,City of Tshwane,481203,434785,217481,217304,46418,25960,20458
municipality,ETH,municipality-ETH,eThekwini,661650,553496,273842,279654,108154,60721,47433
municipality,KZN216,municipality-KZN216,Hibiscus Coast,48101,39778,19832,19946,8323,4701,3622
municipality,KZN227,municipality-KZN227,Richmond,12394,10386,5048,5338,2008,1154,854
municipality,KZN241,municipality-KZN241,Endumeni,12475,10099,4902,5197,2376,1292,1084
municipality,KZN253,municipality-KZN253,Emadlangeni,6340,4767,2228,2539,1573,796,777
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33242,24183,12332,11851,9059,4856,4203
municipality,KZN282,municipality-KZN282,uMhlathuze,67000,54717,28342,26375,12283,6702,5581
municipality,KZN292,municipality-KZN292,KwaDukuza,44041,34761,17068,17693,9280,5319,3961
municipality,KZN433,municipality-KZN433,Greater Kokstad,12668,8556,4214,4342,4112,2359,1753
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,29766,26521,13302,13219,3245,1884,1361
municipality,LIM352,municipality-LIM352,Aganang,27380,25508,12519,12989,1872,1038,834
municipality,LIM364,municipality-LIM364,Mookgopong,5425,4847,2301,2546,578,318,260
municipality,LIM367,municipality-LIM367,Mogalakwena,63182,57187,28482,28705,5995,3342,2653
municipality,LIM471,municipality-LIM471,Ephraim Mogale,24958,22416,10974,11442,2542,1370,1172
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,51155,47002,23471,23531,4153,2305,1848
municipality,LIM473,municipality-LIM473,Makhuduthamaga,56018,50977,25698,25279,5041,2781,2260
municipality,LIM474,municipality-LIM474,Fetakgomo,19131,17866,9079,8787,1265,716,549
municipality,LIM475,municipality-LIM475,Greater Tubatse,70419,64345,32402,31943,6074,3446,2628
municipality,MP301,municipality-MP301,Albert Luthuli,41027,37928,19195,18733,3099,1776,1323
municipality,MP302,municipality-MP302,Msukaligwa,27764,24960,12435,12525,2804,1595,1209
municipality,MP304,municipality-MP304,Pixley Ka Seme,15712,13515,6753,6762,2197,1248,949
municipality,MP305,municipality-MP305,Lekwa,20240,18517,9001,9516,1723,932,791
municipality,MP306,municipality-MP306,Dipaleseng,7410,6827,3305,3522,583,349,234
municipality,MP307,municipality-MP307,Govan Mbeki,52896,47581,22616,24965,5315,2893,2422
municipality,MP312,municipality-MP312,Emalahleni,72793,66994,32098,34896,5799,3182,2617
municipality,MP313,municipality-MP313,Steve Tshwete,38362,34841,16784,18057,3521,1936,1585
municipality,MP314,municipality-MP314,Emakhazeni,8187,7364,3616,3748,823,451,372
municipality,MP315,municipality-MP315,Thembisile,64083,59504,29830,29674,4579,2589,1990
municipality,MP316,municipality-MP316,Dr JS Moroka,51658,48472,23929,24543,3186,1825,1361
municipality,MP321,municipality-MP321,Thaba Chweu,15912,14551,6993,7558,1361,766,595
municipality,MP323,municipality-MP323,Umjindi,11486,10334,5214,5120,1152,649,503
municipality,MP324,municipality-MP324,Nkomazi,90440,80190,40706,39484,10250,5661,4589
municipality,MP325,municipality-MP325,Bushbuckridge,125287,115727,58708,57019,9560,5592,3968
municipality,NW371,municipality-NW371,Moretele,34846,31521,15551,15970,3325,1837,1488
municipality,NW372,municipality-NW372,Madibeng,83702,72434,34249,38185,11268,6300,4968
municipality,NW374,municipality-NW374,Kgetlengrivier,8038,7023,3334,3689,1015,566,449
municipality,NW375,municipality-NW375,Moses Kotane,42135,37181,18116,19065,4954,2711,2243
municipality,NW381,municipality-NW381,Ratlou,19577,15997,8013,7984,3580,1983,1597
municipality,NW382,municipality-NW382,Tswaing,22948,17849,8727,9122,5099,2881,2218
municipality,NW383,municipality-NW383,Mafikeng,55928,47783,24110,23673,8145,4553,3592
municipality,NW385,municipality-NW385,Ramotshere Moiloa,25663,21025,10354,10671,4638,2555,2083
municipality,NW392,municipality-NW392,Naledi,11084,8899,4353,4546,2185,1259,926
municipality,NW393,municipality-NW393,Mamusa,10855,8961,4412,4549,1894,1049,845
municipality,NW394,municipality-NW394,Greater Taung,33170,28491,14186,14305,4679,2752,1927
municipality,NW397,municipality-NW397,Kagisano/Molopo,18289,14629,7306,7323,3660,2191,1469
municipality,NW401,municipality-NW401,Ventersdorp,9705,7883,3862,4021,1822,995,827
municipality,NW402,municipality-NW402,Tlokwe City Council,30812,28760,14667,14093,2052,1091,961
municipality,NW403,municipality-NW403,City of Matlosana,68013,59927,29705,30222,8086,4454,3632
municipality,NW404,municipality-NW404,Maquassi Hills,13520,12204,6093,6111,1316,739,577
municipality,NC061,municipality-NC061,Richtersveld,1679,1538,725,813,141,64,77
municipality,NC064,municipality-NC064,Kamiesberg,1272,1118,512,606,154,78,76
municipality,NC065,municipality-NC065,Hantam,3259,2528,1211,1317,731,390,341
municipality,NC066,municipality-NC066,Karoo Hoogland,1543,1221,616,605,322,176,146
municipality,NC067,municipality-NC067,Khâi-Ma,2112,1662,763,899,450,211,239
municipality,NC072,municipality-NC072,Umsobomvu,4708,3919,1902,2017,789,451,338
municipality,NC073,municipality-NC073,Emthanjeni,6938,5753,2907,2846,1185,640,545
municipality,NC074,municipality-NC074,Kareeberg,1667,1296,676,620,371,205,166
municipality,NC075,municipality-NC075,Renosterberg,1635,1389,659,730,246,116,130
municipality,NC076,municipality-NC076,Thembelihle,2672,2039,978,1061,633,363,270
municipality,NC078,municipality-NC078,Siyancuma,6091,4894,2433,2461,1197,655,542
municipality,NC081,municipality-NC081,Mier,1120,887,436,451,233,123,110
municipality,NC082,municipality-NC082,Kai !Garib,10546,8186,3888,4298,2360,1147,1213
municipality,NC083,municipality-NC083,//Khara Hais,16268,13548,6782,6766,2720,1431,1289
municipality,NC084,municipality-NC084,!Kheis,2446,1673,807,866,773,418,355
municipality,NC086,municipality-NC086,Kgatelopele,3251,2838,1366,1472,413,223,190
municipality,NC091,municipality-NC091,Sol Plaatjie,42108,37171,18603,18568,4937,2733,2204
municipality,NC092,municipality-NC092,Dikgatlong,7848,6598,3262,3336,1250,707,543
municipality,NC093,municipality-NC093,Magareng,4319,3788,1844,1944,531,275,256
municipality,NC451,municipality-NC451,Joe Morolong,15974,13362,6792,6570,2612,1524,1088
municipality,NC452,municipality-NC452,Ga-Segonyana,17468,14631,7176,7455,2837,1585,1252
municipality,NC453,municipality-NC453,Gamagara,6589,5492,2655,2837,1097,547,550
municipality,CPT,municipality-CPT,City of Cape Town,618278,534614,270147,264467,83664,46696,36968
municipality,WC011,municipality-WC011,Matzikama,11141,8086,3986,4100,3055,1602,1453
municipality,WC013,municipality-WC013,Bergrivier,9188,7209,3611,3598,1979,1069,910
municipality,WC014,municipality-WC014,Saldanha Bay,16405,13576,6662,6914,2829,1498,1331
municipality,WC015,municipality-WC015,Swartland,17662,13703,6790,6913,3959,2121,1838
municipality,WC022,municipality-WC022,Witzenberg,18893,15411,7567,7844,3482,1891,1591
municipality,WC023,municipality-WC023,Drakenstein,42133,34803,17243,17560,7330,3980,3350
municipality,WC025,municipality-WC025,Breede Valley,28471,23385,11869,11516,5086,2841,2245
municipality,WC026,municipality-WC026,Langeberg,16484,12280,6106,6174,4204,2223,1981
municipality,WC031,municipality-WC031,Theewaterskloof,17822,14759,7153,7606,3063,1592,1471
municipality,WC032,municipality-WC032,Overstrand,10265,8315,4170,4145,1950,1067,883
municipality,WC034,municipality-WC034,Swellendam,5773,4690,2228,2462,1083,543,540
municipality,WC041,municipality-WC041,Kannaland,4009,2943,1435,1508,1066,562,504
municipality,WC042,municipality-WC042,Hessequa,7502,6402,3259,3143,1100,573,527
municipality,WC043,municipality-WC043,Mossel Bay,11866,9740,4920,4820,2126,1218,908
