geo_level,geo_code,geoid,name,total,From_cell_phone,From_cell_phone_Female,From_cell_phone_Male,From_elsewhere,From_elsewhere_Female,From_elsewhere_Male,From_home,From_home_Female,From_home_Male,From_work,From_work_Female,From_work_Male,No_access_to_internet,No_access_to_internet_Female,No_access_to_internet_Male
municipality,MAN,municipality-MAN,Mangaung,146446,35908,18939,16969,10254,5381,4873,12416,6275,6141,4986,2627,2359,82882,41459,41423
municipality,EKU,municipality-EKU,Ekurhuleni,561288,127178,65499,61679,62465,31846,30619,51842,26112,25730,29607,15179,14428,290196,140917,149279
municipality,GT422,municipality-GT422,Midvaal,14873,3047,1550,1497,669,338,331,1951,977,974,979,493,486,8227,3907,4320
municipality,GT484,municipality-GT484,Merafong City,33062,7367,3767,3600,2564,1309,1255,2160,1097,1063,879,427,452,20092,10048,10044
municipality,JHB,municipality-JHB,City of Johannesburg,762710,183748,96716,87032,85251,43911,41340,96459,48923,47536,43288,22771,20517,353964,172977,180987
municipality,TSH,municipality-TSH,City of Tshwane,521523,128973,68127,60846,61072,31861,29211,73019,36496,36523,32905,16974,15931,225554,110579,114975
municipality,ETH,municipality-ETH,eThekwini,693451,171643,89078,82565,49384,25766,23618,71431,35781,35650,23218,11921,11297,377775,188111,189664
municipality,KZN216,municipality-KZN216,Hibiscus Coast,49248,11756,6120,5636,2320,1220,1100,3195,1553,1642,1331,683,648,30646,15558,15088
municipality,KZN227,municipality-KZN227,Richmond,12582,2025,998,1027,336,150,186,213,110,103,126,63,63,9882,4956,4926
municipality,KZN241,municipality-KZN241,Endumeni,12550,2546,1313,1233,354,163,191,754,382,372,279,129,150,8617,4231,4386
municipality,KZN253,municipality-KZN253,Emadlangeni,6381,1166,548,618,32,13,19,151,76,75,71,31,40,4961,2365,2596
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33462,5840,3023,2817,950,491,459,453,226,227,375,196,179,25844,13371,12473
municipality,KZN282,municipality-KZN282,uMhlathuze,68635,18490,9834,8656,6801,3624,3177,6244,3196,3048,2566,1391,1175,34534,17848,16686
municipality,KZN292,municipality-KZN292,KwaDukuza,45331,9448,4910,4538,2049,1038,1011,3026,1507,1519,1101,566,535,29707,15010,14697
municipality,KZN433,municipality-KZN433,Greater Kokstad,13520,2260,1237,1023,499,286,213,675,334,341,425,221,204,9661,4978,4683
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,29954,6812,3389,3423,1199,626,573,1336,669,667,538,286,252,20069,10322,9747
municipality,LIM352,municipality-LIM352,Aganang,27516,3734,1875,1859,910,448,462,405,191,214,186,86,100,22281,11015,11266
municipality,LIM364,municipality-LIM364,Mookgopong,6054,1568,767,801,229,124,105,225,97,128,99,48,51,3933,1859,2074
municipality,LIM367,municipality-LIM367,Mogalakwena,63974,9915,5004,4911,2972,1507,1465,1707,817,890,730,351,379,48650,24559,24091
municipality,LIM471,municipality-LIM471,Ephraim Mogale,25296,3138,1574,1564,498,253,245,431,200,231,217,115,102,21012,10373,10639
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,52256,8312,4182,4130,3449,1725,1724,939,430,509,454,246,208,39102,19708,19394
municipality,LIM473,municipality-LIM473,Makhuduthamaga,56308,7574,3854,3720,2240,1157,1083,800,376,424,338,164,174,45356,23073,22283
municipality,LIM474,municipality-LIM474,Fetakgomo,19260,2032,1058,974,670,322,348,267,141,126,196,95,101,16095,8242,7853
municipality,LIM475,municipality-LIM475,Greater Tubatse,71067,9771,4842,4929,2367,1179,1188,1547,746,801,882,446,436,56500,28903,27597
municipality,MP301,municipality-MP301,Albert Luthuli,41530,8494,4315,4179,1633,858,775,865,405,460,405,206,199,30133,15460,14673
municipality,MP302,municipality-MP302,Msukaligwa,28601,6644,3295,3349,2284,1218,1066,1680,856,824,765,406,359,17228,8650,8578
municipality,MP304,municipality-MP304,Pixley Ka Seme,15901,3244,1648,1596,811,407,404,617,293,324,237,131,106,10992,5623,5369
