geo_level,geo_code,geoid,name,total,Multidimensionally poor,Multidimensionally poor-Black African,Multidimensionally poor-Black African-Female,Multidimensionally poor-Black African-Male,Multidimensionally poor-Coloured,Multidimensionally poor-Coloured-Female,Multidimensionally poor-Coloured-Male,Multidimensionally poor-Indian or Asian,Multidimensionally poor-Indian or Asian-Female,Multidimensionally poor-Indian or Asian-Male,Multidimensionally poor-Other,Multidimensionally poor-Other-Female,Multidimensionally poor-Other-Male,Multidimensionally poor-White,Multidimensionally poor-White-Female,Multidimensionally poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,EC137,municipality-EC137,Engcobo,27838,20214,20157,9816,10341,10,6,4,8,5,3,25,5,20,14,6,8,7624,7565,3971,3594,14,4,10,17,1,16,20,4,16,8,2,6
municipality,EC138,municipality-EC138,Sakhisizwe,11733,5867,5805,2567,3238,46,25,21,1,0,1,10,0,10,5,4,1,5866,5762,2939,2823,32,19,13,17,6,11,11,1,10,44,25,19
municipality,EC141,municipality-EC141,Elundini,26661,17803,17619,8096,9523,131,59,72,9,0,9,29,6,23,15,6,9,8858,8622,4343,4279,124,70,54,9,0,9,24,4,20,79,37,42
municipality,EC142,municipality-EC142,Senqu,26743,13401,13237,6473,6764,119,49,70,14,5,9,27,14,13,4,2,2,13342,13025,6566,6459,184,97,87,38,10,28,21,7,14,74,33,41
municipality,EC143,municipality-EC143,Maletswai,7616,2773,2550,1329,1221,200,103,97,3,0,3,4,1,3,16,6,10,4843,4193,2167,2026,368,196,172,15,5,10,21,4,17,246,114,132
municipality,EC153,municipality-EC153,Ngquza Hill,56272,38369,38113,18630,19483,145,67,78,52,17,35,39,11,28,20,11,9,17903,17630,9166,8464,205,97,108,25,11,14,32,5,27,11,6,5
municipality,EC154,municipality-EC154,Port St Johns,31965,22030,21917,10771,11146,76,31,45,19,8,11,9,3,6,9,2,7,9935,9826,5280,4546,82,47,35,9,3,6,2,1,1,16,8,8
municipality,EC155,municipality-EC155,Nyandeni,63280,40384,40166,19367,20799,118,58,60,52,24,28,29,9,20,19,11,8,22896,22716,11979,10737,116,58,58,32,17,15,19,14,5,13,7,6
municipality,EC156,municipality-EC156,Mhlontlo,38723,23925,23817,11133,12684,63,34,29,20,10,10,10,6,4,15,6,9,14798,14660,7426,7234,46,19,27,23,12,11,25,1,24,44,29,15
municipality,EC441,municipality-EC441,Matatiele,36343,23538,23402,11084,12318,76,42,34,26,10,16,10,4,6,24,14,10,12805,12402,6400,6002,226,99,127,52,18,34,19,6,13,106,60,46
municipality,EC442,municipality-EC442,Umzimvubu,36555,24334,24198,11724,12474,90,38,52,11,8,3,24,4,20,11,2,9,12221,12143,6330,5813,51,29,22,13,7,6,11,0,11,3,3,0
municipality,EC443,municipality-EC443,Mbizana,51264,34566,34444,17376,17068,65,31,34,34,16,18,11,6,5,12,6,6,16698,16594,8750,7844,58,30,28,18,5,13,15,3,12,13,8,5
municipality,EC444,municipality-EC444,Ntabankulu,24057,19594,19515,9753,9762,46,26,20,15,3,12,10,1,9,8,3,5,4463,4361,2381,1980,87,44,43,8,0,8,3,0,3,4,1,3
municipality,FS161,municipality-FS161,Letsemeng,6661,2420,1796,978,818,597,311,286,2,1,1,5,1,4,20,13,7,4241,2957,1391,1566,1023,513,510,12,2,10,21,2,19,228,103,125
municipality,FS162,municipality-FS162,Kopanong,8195,2797,2100,1085,1015,657,355,302,6,2,4,4,2,2,30,18,12,5398,4107,2045,2062,961,468,493,22,8,14,27,7,20,281,146,135
municipality,FS163,municipality-FS163,Mohokare,6337,2678,2607,1345,1262,60,37,23,0,0,0,1,0,1,10,6,4,3659,3400,1731,1669,83,35,48,12,1,11,6,0,6,158,57,101
municipality,FS181,municipality-FS181,Masilonyana,10431,3747,3658,1924,1734,39,21,18,3,1,2,5,2,3,42,22,20,6684,6252,3201,3051,71,26,45,19,1,18,18,4,14,324,170,154
municipality,FS182,municipality-FS182,Tokologo,4877,2230,2079,1111,968,119,54,65,2,1,1,8,6,2,22,7,15,2647,2321,1150,1171,104,52,52,16,1,15,10,2,8,196,98,98
municipality,FS183,municipality-FS183,Tswelopele,8463,3233,3173,1683,1490,35,17,18,6,3,3,1,0,1,18,7,11,5230,4846,2435,2411,77,35,42,25,1,24,5,0,5,277,134,143
municipality,FS184,municipality-FS184,Matjhabeng,73271,21536,20705,10686,10019,379,164,215,29,11,18,30,7,23,393,227,166,51735,46280,23443,22837,1226,635,591,181,47,134,93,26,67,3955,1946,2009
municipality,FS185,municipality-FS185,Nala,14591,5583,5511,2903,2608,26,14,12,4,2,2,14,7,7,28,16,12,9008,8580,4394,4186,63,34,29,26,4,22,24,2,22,315,138,177
municipality,FS192,municipality-FS192,Dihlabeng,21903,7367,7234,3822,3412,70,29,41,8,5,3,6,1,5,49,28,21,14536,12984,6579,6405,283,148,135,60,26,34,27,8,19,1182,631,551
municipality,FS193,municipality-FS193,Nketoana,11238,4361,4311,2206,2105,7,2,5,7,6,1,6,2,4,30,20,10,6877,6426,3234,3192,26,9,17,18,4,14,13,4,9,394,188,206
municipality,FS194,municipality-FS194,Maluti a Phofung,72131,22866,22769,11425,11344,33,16,17,11,6,5,16,7,9,37,20,17,49265,48687,25105,23582,88,45,43,91,32,59,32,14,18,367,165,202
municipality,FS195,municipality-FS195,Phumelela,8770,3537,3480,1812,1668,12,6,6,1,0,1,4,1,3,40,28,12,5233,4891,2453,2438,20,10,10,30,1,29,30,6,24,262,133,129
municipality,FS201,municipality-FS201,Moqhaka,25980,7390,7126,3771,3355,133,56,77,5,2,3,18,6,12,108,49,59,18590,16629,8290,8339,577,280,297,50,19,31,53,13,40,1281,612,669
municipality,FS203,municipality-FS203,Ngwathe,20774,6695,6416,3286,3130,148,80,68,19,7,12,11,3,8,101,58,43,14079,12575,6375,6200,426,215,211,48,11,37,44,4,40,986,507,479
municipality,FS204,municipality-FS204,Metsimaholo,25332,6743,6478,3338,3140,36,16,20,3,1,2,14,2,12,212,133,79,18589,15863,7681,8182,107,56,51,65,23,42,49,11,38,2505,1250,1255
municipality,FS205,municipality-FS205,Mafube,10473,3450,3370,1736,1634,23,15,8,3,3,0,4,1,3,50,26,24,7023,6637,3396,3241,28,15,13,21,3,18,15,4,11,322,148,174
municipality,GT421,municipality-GT421,Emfuleni,131020,26670,25375,12658,12717,308,161,147,87,43,44,75,26,49,825,439,386,104350,92692,47095,45597,1247,648,599,891,384,507,283,76,207,9237,4532,4705
municipality,GT423,municipality-GT423,Lesedi,16502,4222,3961,2047,1914,42,25,17,15,5,10,12,5,7,192,105,87,12280,9950,4946,5004,125,52,73,155,63,92,32,4,28,2018,967,1051
municipality,GT481,municipality-GT481,Mogale City,56923,13147,12331,6156,6175,90,53,37,113,66,47,70,22,48,543,266,277,43776,35185,17445,17740,314,163,151,920,441,479,110,35,75,7247,3516,3731
municipality,GT482,municipality-GT482,Randfontein,23431,5447,4504,2283,2221,549,257,292,12,5,7,29,16,13,353,216,137,17984,12560,6290,6270,2065,1068,997,68,22,46,38,18,20,3253,1553,1700
municipality,GT483,municipality-GT483,Westonaria,19054,7628,7406,3777,3629,27,8,19,9,3,6,58,20,38,128,72,56,11426,10348,5014,5334,101,54,47,47,14,33,20,3,17,910,417,493
municipality,KZN211,municipality-KZN211,Vulamehlo,15690,10491,10463,5390,5073,5,2,3,13,8,5,4,1,3,6,3,3,5199,5156,2511,2645,9,5,4,30,15,15,0,0,0,4,3,1
municipality,KZN212,municipality-KZN212,Umdoni,14331,5424,5145,2593,2552,32,14,18,203,101,102,5,3,2,39,19,20,8907,6861,3523,3338,98,51,47,1582,772,810,24,11,13,342,163,179
municipality,KZN213,municipality-KZN213,Umzumbe,33074,20008,19935,9849,10086,18,10,8,24,12,12,21,11,10,10,6,4,13066,13019,6505,6514,15,6,9,11,8,3,9,1,8,12,6,6
municipality,KZN214,municipality-KZN214,UMuziwabantu,20119,10805,10729,5428,5301,43,23,20,18,6,12,8,0,8,7,3,4,9314,9117,4639,4478,116,57,59,43,17,26,10,2,8,28,12,16
municipality,KZN215,municipality-KZN215,Ezingoleni,10706,5341,5336,2581,2755,1,0,1,1,0,1,2,1,1,1,0,1,5365,5309,2732,2577,11,5,6,16,7,9,4,1,3,25,8,17
municipality,KZN221,municipality-KZN221,uMshwathi,21784,9789,9705,4997,4708,9,6,3,38,19,19,20,7,13,17,9,8,11995,11483,5764,5719,31,14,17,249,113,136,30,10,20,202,87,115
municipality,KZN222,municipality-KZN222,uMngeni,14655,4040,3898,2011,1887,31,13,18,62,30,32,5,2,3,44,18,26,10615,8963,4463,4500,215,108,107,496,231,265,19,5,14,922,494,428
municipality,KZN223,municipality-KZN223,Mpofana,6976,3017,2978,1563,1415,6,3,3,24,13,11,2,0,2,7,5,2,3959,3717,1760,1957,34,13,21,80,42,38,12,9,3,116,56,60
municipality,KZN224,municipality-KZN224,Impendle,6759,3149,3139,1591,1548,2,0,2,1,0,1,2,2,0,5,3,2,3610,3584,1744,1840,10,2,8,3,2,1,6,4,2,7,2,5
municipality,KZN225,municipality-KZN225,The Msunduzi,119872,28431,26863,13483,13380,392,171,221,925,427,498,74,32,42,177,78,99,91441,76140,39160,36980,2784,1410,1374,8925,4481,4444,216,90,126,3376,1695,1681
municipality,KZN226,municipality-KZN226,Mkhambathini,11957,6206,6161,3152,3009,6,0,6,16,9,7,10,2,8,13,9,4,5751,5503,2695,2808,14,8,6,75,35,40,5,0,5,154,68,86
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,45157,15634,15359,7998,7361,60,25,35,159,87,72,14,6,8,42,23,19,29523,27241,14045,13196,346,198,148,1314,589,725,49,20,29,573,307,266
municipality,KZN233,municipality-KZN233,Indaka,21731,11939,11901,6423,5478,11,8,3,16,6,10,3,2,1,8,1,7,9792,9736,5064,4672,17,9,8,29,9,20,3,1,2,7,2,5
municipality,KZN234,municipality-KZN234,Umtshezi,15803,7258,7102,3729,3373,37,28,9,105,52,53,4,3,1,10,5,5,8545,7522,3793,3729,152,70,82,698,337,361,28,12,16,145,71,74
municipality,KZN235,municipality-KZN235,Okhahlamba,25668,12530,12483,6563,5920,7,5,2,22,10,12,9,5,4,9,5,4,13138,12946,6425,6521,15,5,10,40,18,22,19,5,14,118,60,58
municipality,KZN236,municipality-KZN236,Imbabazane,23651,11910,11887,6144,5743,10,5,5,8,5,3,3,1,2,2,1,1,11741,11701,5841,5860,7,4,3,15,5,10,8,2,6,10,9,1
municipality,KZN242,municipality-KZN242,Nqutu,34677,20379,20322,10738,9584,21,9,12,13,6,7,12,5,7,11,10,1,14298,14258,7176,7082,10,7,3,20,9,11,4,2,2,6,2,4
municipality,KZN244,municipality-KZN244,Msinga,35686,26254,26199,14375,11824,13,7,6,25,13,12,8,4,4,9,5,4,9432,9381,4919,4462,3,1,2,22,12,10,9,1,8,17,13,4
