geo_level,geo_code,geoid,name,total,Collective living quarters,Commercial,Farms,Formal residential,Industrial,Informal residential,Parks and recreation,Small holdings,Traditional residential,Vacant
municipality,NC061,municipality-NC061,Richtersveld,1791,0,0,7,1761,17,0,2,0,0,4
municipality,NC064,municipality-NC064,Kamiesberg,1610,0,0,40,1568,0,0,0,0,0,2
municipality,NC065,municipality-NC065,Hantam,3525,1,62,524,2900,0,0,34,0,0,4
municipality,NC066,municipality-NC066,Karoo Hoogland,1816,101,0,397,1255,0,0,0,0,0,63
municipality,NC067,municipality-NC067,Khâi-Ma,2298,113,0,606,1551,24,0,0,0,0,4
municipality,NC072,municipality-NC072,Umsobomvu,5093,61,2,351,4316,36,319,1,0,0,7
municipality,NC073,municipality-NC073,Emthanjeni,7557,0,1,352,7114,1,0,2,82,0,5
municipality,NC074,municipality-NC074,Kareeberg,1911,0,0,285,1604,22,0,0,0,0,0
municipality,NC075,municipality-NC075,Renosterberg,1801,0,0,183,1495,0,113,0,9,0,1
municipality,NC076,municipality-NC076,Thembelihle,2822,1,0,289,2512,0,0,0,0,0,20
municipality,NC078,municipality-NC078,Siyancuma,6583,0,0,1131,4762,142,432,0,106,0,10
municipality,NC081,municipality-NC081,Mier,1252,107,0,241,854,0,0,50,0,0,0
municipality,NC082,municipality-NC082,Kai !Garib,14705,5,0,5838,7737,2,0,57,1063,0,3
municipality,NC083,municipality-NC083,//Khara Hais,17516,344,61,809,16259,15,0,0,13,0,15
municipality,NC084,municipality-NC084,!Kheis,2706,135,0,521,1775,0,275,0,0,0,0
municipality,NC086,municipality-NC086,Kgatelopele,3415,33,0,110,3050,4,0,0,167,0,51
municipality,NC091,municipality-NC091,Sol Plaatjie,46668,607,250,411,42570,206,2463,100,50,0,11
municipality,NC092,municipality-NC092,Dikgatlong,8634,0,0,606,6804,21,850,0,0,321,32
municipality,NC093,municipality-NC093,Magareng,4630,0,0,275,4069,0,269,0,0,0,17
municipality,NC451,municipality-NC451,Joe Morolong,16452,10,0,650,417,52,0,0,0,15128,195
municipality,NC452,municipality-NC452,Ga-Segonyana,18176,5,161,130,4907,6,0,0,0,12754,213
municipality,NC453,municipality-NC453,Gamagara,7854,274,47,122,7389,8,0,6,0,0,8
municipality,CPT,municipality-CPT,City of Cape Town,686859,14266,5764,2366,596426,946,63515,233,2569,0,774
municipality,WC011,municipality-WC011,Matzikama,12228,0,483,3993,7491,28,230,0,0,0,3
municipality,WC013,municipality-WC013,Bergrivier,10765,292,0,4652,5764,36,0,16,0,0,5
municipality,WC014,municipality-WC014,Saldanha Bay,18016,549,167,500,16636,49,0,0,81,0,34
municipality,WC015,municipality-WC015,Swartland,20525,250,7,6284,13754,102,63,0,50,0,15
municipality,WC022,municipality-WC022,Witzenberg,22010,95,63,10606,9862,111,1167,1,56,0,49
municipality,WC023,municipality-WC023,Drakenstein,48672,1687,257,7054,36727,93,1272,53,1513,0,16
municipality,WC025,municipality-WC025,Breede Valley,30630,1930,481,8810,18013,58,1241,0,9,0,88
municipality,WC026,municipality-WC026,Langeberg,17147,100,48,5300,11233,33,336,0,36,0,61
municipality,WC031,municipality-WC031,Theewaterskloof,19082,375,13,5745,10613,25,2173,89,0,0,49
municipality,WC032,municipality-WC032,Overstrand,11666,33,58,768,9788,8,940,22,7,0,42
municipality,WC034,municipality-WC034,Swellendam,6105,63,0,1618,4065,3,293,5,54,0,4
municipality,WC041,municipality-WC041,Kannaland,4226,52,4,1223,2801,0,0,0,142,0,4
municipality,WC042,municipality-WC042,Hessequa,7658,19,67,1634,5706,0,34,25,153,0,20
municipality,WC043,municipality-WC043,Mossel Bay,13913,49,143,666,12310,29,586,102,0,0,28
