geo_code,geoid,name,total,Discouraged work-seeker-Female,Discouraged work-seeker-Male,Employed-Female,Employed-Male,Other not economically active-Female,Other not economically active-Male,Unemployed-Female,Unemployed-Male
EC128,municipality-EC128,Nxuba,3875,237,162,151,349,1022,1007,455,492
EC135,municipality-EC135,Intsika Yethu,26432,1094,1213,586,852,9377,10655,1185,1470
EC144,municipality-EC144,Gariep,5799,327,205,393,823,1667,1572,408,404
EC157,municipality-EC157,King Sabata Dalindyebo,99985,3317,3309,4068,3783,38005,35589,6103,5811
NMA,municipality-NMA,Nelson Mandela Bay,208283,6482,5908,13863,16679,59533,56817,25111,23890
FS164,municipality-FS164,Naledi,4785,297,209,248,350,1570,1573,329,209
FS191,municipality-FS191,Setsoto,21337,985,684,874,1511,7187,6561,1914,1621
FS196,municipality-FS196,Mantsopa,9643,429,243,552,944,3043,2879,876,677
MAN,municipality-MAN,Mangaung,146806,3219,2345,10401,13775,46648,43022,14621,12775
EKU,municipality-EKU,Ekurhuleni,564111,13606,11010,52782,77174,140493,127943,74090,67013
GT422,municipality-GT422,Midvaal,15038,353,204,1757,2918,3870,3391,1370,1175
GT484,municipality-GT484,Merafong City,33221,900,652,2363,4484,9083,7684,4392,3663
JHB,municipality-JHB,City of Johannesburg,767190,16935,14510,90040,113048,186115,169088,94539,82915
TSH,municipality-TSH,City of Tshwane,524204,10725,9212,53178,66649,140937,129763,60554,53186
ETH,municipality-ETH,eThekwini,697570,19810,17541,61241,73285,196225,183221,75512,70735
KZN216,municipality-KZN216,Hibiscus Coast,49407,1545,1292,3729,4217,15671,14772,4273,3908
KZN227,municipality-KZN227,Richmond,12625,779,645,842,1271,3842,3634,833,779
KZN241,municipality-KZN241,Endumeni,12605,445,329,774,1197,4075,3919,960,906
KZN253,municipality-KZN253,Emadlangeni,6443,381,368,278,478,1873,2023,532,510
KZN271,municipality-KZN271,Umhlabuyalingana,33536,1907,1388,836,773,12808,12574,1793,1457
KZN282,municipality-KZN282,uMhlathuze,68951,2322,1752,4866,5760,21711,19364,7165,6011
KZN292,municipality-KZN292,KwaDukuza,45474,1629,1178,4395,6373,12824,11326,4257,3492
KZN433,municipality-KZN433,Greater Kokstad,13606,261,202,1135,1502,4247,3624,1462,1173
LIM334,municipality-LIM334,Ba-Phalaborwa,30037,721,486,1150,1798,10319,9771,3139,2653
LIM352,municipality-LIM352,Aganang,27547,631,404,438,656,10740,11326,1822,1530
LIM364,municipality-LIM364,Mookgopong,6073,138,139,639,1122,1459,1393,664,519
LIM367,municipality-LIM367,Mogalakwena,64077,1597,1428,1907,2880,23808,23196,4981,4280
LIM471,municipality-LIM471,Ephraim Mogale,25344,873,637,925,1594,8747,8877,1994,1697
LIM472,municipality-LIM472,Elias Motsoaledi,52347,1788,1329,1519,2389,19250,19029,3771,3272
LIM473,municipality-LIM473,Makhuduthamaga,56377,1996,1368,831,1138,20998,21179,4834,4033
LIM474,municipality-LIM474,Fetakgomo,19287,444,347,274,461,7121,6955,2034,1651
LIM475,municipality-LIM475,Greater Tubatse,71224,1838,1404,1859,3375,23968,23043,8532,7205
MP301,municipality-MP301,Albert Luthuli,41566,1749,1379,1607,2330,14818,14047,3088,2548
MP302,municipality-MP302,Msukaligwa,28686,1109,652,2146,3604,8231,7718,2978,2248
MP304,municipality-MP304,Pixley Ka Seme,15940,813,543,618,1048,5365,5130,1329,1094
MP305,municipality-MP305,Lekwa,20777,488,347,1434,2681,6162,5799,2125,1741
MP306,municipality-MP306,Dipaleseng,7927,223,194,402,905,2210,1929,1073,991
MP307,municipality-MP307,Govan Mbeki,56243,1224,954,4575,8406,15102,14148,6235,5599
MP312,municipality-MP312,Emalahleni,74978,1714,1314,6004,11145,19398,17936,9124,8343
MP313,municipality-MP313,Steve Tshwete,41012,978,661,3902,7119,10988,10113,4006,3245
MP314,municipality-MP314,Emakhazeni,8434,287,211,560,1108,2497,2262,830,679
