geo_code,geoid,name,total,Female-Black African,Female-Coloured,Female-Indian or Asian,Female-Other,Female-White,Male-Black African,Male-Coloured,Male-Indian or Asian,Male-Other,Male-White
KZN261,municipality-KZN261,eDumbe,17039,8497,9,13,11,73,8321,5,25,21,64
KZN262,municipality-KZN262,UPhongolo,28143,14257,11,12,11,91,13606,20,16,14,105
KZN263,municipality-KZN263,Abaqulusi,43891,21379,93,71,22,445,21214,99,83,40,445
KZN265,municipality-KZN265,Nongoma,44069,22783,34,38,16,23,21058,30,35,20,32
KZN266,municipality-KZN266,Ulundi,40779,21164,30,18,24,33,19403,31,30,25,21
KZN272,municipality-KZN272,Jozini,41607,21476,20,32,37,26,19888,20,46,39,23
KZN273,municipality-KZN273,The Big 5 False Bay,7506,3790,6,9,0,35,3606,5,7,4,44
KZN274,municipality-KZN274,Hlabisa,16160,8288,15,9,10,10,7792,8,16,8,4
KZN275,municipality-KZN275,Mtubatuba,37588,19175,68,56,15,112,17918,65,54,23,102
KZN281,municipality-KZN281,Mfolozi,26447,13271,24,30,7,41,12975,26,22,8,43
KZN283,municipality-KZN283,Ntambanana,16641,8426,18,9,4,4,8133,19,16,5,7
KZN284,municipality-KZN284,uMlalazi,45472,22860,98,165,21,173,21721,123,108,66,137
KZN285,municipality-KZN285,Mthonjaneni,9718,4986,12,10,0,15,4643,12,12,12,16
KZN286,municipality-KZN286,Nkandla,24833,12969,15,5,7,24,11773,17,7,7,9
KZN291,municipality-KZN291,Mandeni,29343,14407,78,216,16,86,14168,51,220,21,80
KZN293,municipality-KZN293,Ndwedwe,29707,14823,25,75,50,17,14517,25,84,67,24
KZN294,municipality-KZN294,Maphumulo,20808,11009,14,7,5,10,9721,10,14,9,9
KZN431,municipality-KZN431,Ingwe,20922,10475,13,10,4,26,10316,17,14,16,31
KZN432,municipality-KZN432,Kwa Sani,2289,1008,5,0,3,25,1199,6,4,0,39
KZN434,municipality-KZN434,Ubuhlebezwe,21197,10459,101,28,4,41,10392,87,31,15,39
KZN435,municipality-KZN435,Umzimkhulu,39556,20621,58,15,6,10,18724,51,28,28,15
LIM331,municipality-LIM331,Greater Giyani,57701,29421,26,51,12,17,28059,13,63,17,22
LIM332,municipality-LIM332,Greater Letaba,50158,24678,17,9,12,107,25096,28,23,62,126
LIM333,municipality-LIM333,Greater Tzaneen,82938,40781,51,90,29,580,40492,73,151,81,610
LIM335,municipality-LIM335,Maruleng,20872,10291,29,16,5,158,10125,20,33,19,176
LIM341,municipality-LIM341,Musina,12999,6520,13,18,23,203,5996,17,36,19,154
LIM342,municipality-LIM342,Mutale,20643,10310,9,2,8,34,10195,19,12,21,33
LIM343,municipality-LIM343,Thulamela,144442,72356,50,181,31,39,71345,51,241,99,49
