geo_code,geoid,name,total,From cell phone-Female,From cell phone-Male,From elsewhere-Female,From elsewhere-Male,From home-Female,From home-Male,From work-Female,From work-Male,No access to internet-Female,No access to internet-Male
KZN431,municipality-KZN431,Ingwe,20829,1221,1243,212,198,69,69,104,110,8880,8723
KZN432,municipality-KZN432,Kwa Sani,2249,254,260,8,18,27,39,14,11,725,893
KZN434,municipality-KZN434,Ubuhlebezwe,20945,1392,1327,293,288,175,137,134,141,8509,8549
KZN435,municipality-KZN435,Umzimkhulu,39219,2952,2615,636,567,213,202,158,122,16601,15153
LIM331,municipality-LIM331,Greater Giyani,57423,5771,5502,1560,1503,619,630,316,261,21143,20118
LIM332,municipality-LIM332,Greater Letaba,49813,5184,5206,777,746,379,434,156,138,18175,18618
LIM333,municipality-LIM333,Greater Tzaneen,82518,7682,7595,1536,1561,1217,1311,515,467,30402,30232
LIM335,municipality-LIM335,Maruleng,20592,1111,1119,210,232,166,143,104,113,8770,8624
LIM341,municipality-LIM341,Musina,12848,1023,879,142,146,295,303,143,147,5125,4645
LIM342,municipality-LIM342,Mutale,20327,2039,2087,216,240,144,154,95,86,7733,7533
LIM343,municipality-LIM343,Thulamela,141364,15128,15243,3777,3634,1528,1658,766,809,49919,48902
LIM344,municipality-LIM344,Makhado,109247,9840,10025,2315,2218,1204,1324,606,558,40482,40675
LIM351,municipality-LIM351,Blouberg,36335,2179,2047,608,563,144,184,111,120,15388,14991
LIM353,municipality-LIM353,Molemole,22453,1883,1890,1652,1661,256,311,128,111,7119,7442
LIM354,municipality-LIM354,Polokwane,130895,15589,14531,4647,4087,3504,3630,2208,1935,40463,40301
LIM355,municipality-LIM355,Lepele-Nkumpi,47496,3978,3940,1212,1195,503,538,286,250,17807,17787
LIM361,municipality-LIM361,Thabazimbi,12878,1249,1364,167,185,438,450,234,247,3980,4564
LIM362,municipality-LIM362,Lephalale,22339,2047,2402,382,411,367,434,314,325,7525,8132
LIM365,municipality-LIM365,Modimolle,12348,949,969,220,226,234,241,160,141,4582,4626
LIM366,municipality-LIM366,Bela-Bela,11227,1088,1018,206,219,261,264,130,104,3879,4058
BUF,municipality-BUF,Buffalo City,135670,13743,11540,3944,3711,4826,4567,2718,2372,43987,44262
EC101,municipality-EC101,Camdeboo,8264,594,574,71,58,193,236,89,84,3123,3242
EC105,municipality-EC105,Ndlambe,9509,756,740,179,209,265,250,129,119,3383,3479
EC122,municipality-EC122,Mnquma,48983,3238,2962,781,686,327,322,283,246,19227,20911
EC128,municipality-EC128,Nxuba,3874,244,252,14,16,65,55,24,25,1516,1663
EC135,municipality-EC135,Intsika Yethu,26371,1368,1452,325,288,121,89,76,91,10316,12245
EC144,municipality-EC144,Gariep,5773,381,336,83,97,125,114,50,40,2145,2402
EC157,municipality-EC157,King Sabata Dalindyebo,99544,8938,8070,1841,1723,1123,1030,922,839,38404,36654
NMA,municipality-NMA,Nelson Mandela Bay,207355,18651,16989,6677,6239,9472,9556,3460,3253,66271,66787
FS164,municipality-FS164,Naledi,4784,457,421,92,117,69,78,45,41,1780,1684
FS191,municipality-FS191,Setsoto,21326,1817,1732,572,508,295,269,155,136,8114,7728
FS196,municipality-FS196,Mantsopa,9639,767,699,347,350,126,148,87,97,3570,3448
MAN,municipality-MAN,Mangaung,146446,18939,16969,5381,4873,6275,6141,2627,2359,41459,41423
EKU,municipality-EKU,Ekurhuleni,561288,65499,61679,31846,30619,26112,25730,15179,14428,140917,149279
GT422,municipality-GT422,Midvaal,14873,1550,1497,338,331,977,974,493,486,3907,4320
GT484,municipality-GT484,Merafong City,33062,3767,3600,1309,1255,1097,1063,427,452,10048,10044
JHB,municipality-JHB,City of Johannesburg,762710,96716,87032,43911,41340,48923,47536,22771,20517,172977,180987
TSH,municipality-TSH,City of Tshwane,521523,68127,60846,31861,29211,36496,36523,16974,15931,110579,114975
ETH,municipality-ETH,eThekwini,693451,89078,82565,25766,23618,35781,35650,11921,11297,188111,189664
KZN216,municipality-KZN216,Hibiscus Coast,49248,6120,5636,1220,1100,1553,1642,683,648,15558,15088
KZN227,municipality-KZN227,Richmond,12582,998,1027,150,186,110,103,63,63,4956,4926
KZN241,municipality-KZN241,Endumeni,12550,1313,1233,163,191,382,372,129,150,4231,4386
KZN253,municipality-KZN253,Emadlangeni,6381,548,618,13,19,76,75,31,40,2365,2596
KZN271,municipality-KZN271,Umhlabuyalingana,33462,3023,2817,491,459,226,227,196,179,13371,12473
KZN282,municipality-KZN282,uMhlathuze,68635,9834,8656,3624,3177,3196,3048,1391,1175,17848,16686
KZN292,municipality-KZN292,KwaDukuza,45331,4910,4538,1038,1011,1507,1519,566,535,15010,14697
KZN433,municipality-KZN433,Greater Kokstad,13520,1237,1023,286,213,334,341,221,204,4978,4683
LIM334,municipality-LIM334,Ba-Phalaborwa,29954,3389,3423,626,573,669,667,286,252,10322,9747
LIM352,municipality-LIM352,Aganang,27516,1875,1859,448,462,191,214,86,100,11015,11266
LIM364,municipality-LIM364,Mookgopong,6054,767,801,124,105,97,128,48,51,1859,2074
LIM367,municipality-LIM367,Mogalakwena,63974,5004,4911,1507,1465,817,890,351,379,24559,24091
LIM471,municipality-LIM471,Ephraim Mogale,25296,1574,1564,253,245,200,231,115,102,10373,10639
LIM472,municipality-LIM472,Elias Motsoaledi,52256,4182,4130,1725,1724,430,509,246,208,19708,19394
LIM473,municipality-LIM473,Makhuduthamaga,56308,3854,3720,1157,1083,376,424,164,174,23073,22283
LIM474,municipality-LIM474,Fetakgomo,19260,1058,974,322,348,141,126,95,101,8242,7853
LIM475,municipality-LIM475,Greater Tubatse,71067,4842,4929,1179,1188,746,801,446,436,28903,27597
MP301,municipality-MP301,Albert Luthuli,41530,4315,4179,858,775,405,460,206,199,15460,14673
MP302,municipality-MP302,Msukaligwa,28601,3295,3349,1218,1066,856,824,406,359,8650,8578
MP304,municipality-MP304,Pixley Ka Seme,15901,1648,1596,407,404,293,324,131,106,5623,5369
MP305,municipality-MP305,Lekwa,20721,2263,2215,855,846,684,678,255,311,6122,6492
MP306,municipality-MP306,Dipaleseng,7912,857,908,85,61,142,153,73,90,2747,2796
MP307,municipality-MP307,Govan Mbeki,55942,6923,7223,1525,1653,2340,2499,1057,1069,15139,16514
MP312,municipality-MP312,Emalahleni,74685,9298,9134,2773,2994,3328,3435,1487,1480,19231,21525
MP313,municipality-MP313,Steve Tshwete,40750,4754,4909,862,863,2066,2262,1014,1033,11054,11933
MP314,municipality-MP314,Emakhazeni,8400,1223,1181,183,159,190,211,78,84,2487,2604
MP315,municipality-MP315,Thembisile,64572,7915,7422,3771,3546,779,857,373,369,19779,19761
MP316,municipality-MP316,Dr JS Moroka,51938,5356,5285,2288,2217,438,463,270,306,17533,17782
MP321,municipality-MP321,Thaba Chweu,16619,1834,1838,266,264,640,609,273,272,5081,5542
MP323,municipality-MP323,Umjindi,12000,1638,1593,216,200,371,361,217,168,3673,3563
MP324,municipality-MP324,Nkomazi,91866,10437,10062,1615,1493,1339,1289,528,489,33115,31499
MP325,municipality-MP325,Bushbuckridge,125665,12152,11890,3420,3086,1219,1127,545,574,47107,44545
NW371,municipality-NW371,Moretele,35151,3330,3254,1168,1059,282,322,170,188,12567,12811
NW372,municipality-NW372,Madibeng,85788,9189,9416,2595,2505,1846,2025,1099,1101,26784,29228
NW374,municipality-NW374,Kgetlengrivier,8775,701,673,140,140,218,253,87,108,3113,3342
NW375,municipality-NW375,Moses Kotane,42531,4639,4535,806,846,518,600,343,300,14713,15231
NW381,municipality-NW381,Ratlou,19665,1150,1157,204,191,83,91,56,56,8560,8117
NW382,municipality-NW382,Tswaing,23208,2233,2040,357,393,270,264,90,86,8810,8665
NW383,municipality-NW383,Mafikeng,57940,6323,5707,2670,2468,1228,1186,1351,1211,18164,17632
NW385,municipality-NW385,Ramotshere Moiloa,26076,2026,1906,285,264,303,324,197,195,10310,10266
NW392,municipality-NW392,Naledi,11720,1367,1245,416,387,276,234,187,183,3709,3716
NW393,municipality-NW393,Mamusa,11103,742,712,332,338,152,138,59,55,4277,4298
NW394,municipality-NW394,Greater Taung,33411,2461,2211,634,570,217,205,129,137,13631,13216
NW397,municipality-NW397,Kagisano/Molopo,18640,1189,1231,341,269,113,131,81,78,7925,7282
NW401,municipality-NW401,Ventersdorp,9888,967,983,97,83,85,92,57,48,3738,3738
NW402,municipality-NW402,Tlokwe City Council,32649,3989,3572,1544,1229,2308,2157,656,594,8155,8445
NW403,municipality-NW403,City of Matlosana,70284,6411,6146,1849,1665,1943,2135,946,1006,24133,24050
NW404,municipality-NW404,Maquassi Hills,14075,1199,1129,246,255,226,252,97,92,5366,5213
NC061,municipality-NC061,Richtersveld,1718,189,185,9,15,48,60,35,21,528,628
NC064,municipality-NC064,Kamiesberg,1307,35,50,21,14,7,15,6,14,541,604
NC065,municipality-NC065,Hantam,3307,423,432,15,17,54,56,36,37,1091,1146
NC066,municipality-NC066,Karoo Hoogland,1603,174,149,7,7,16,29,18,23,605,575
NC067,municipality-NC067,Khâi-Ma,2152,181,202,24,12,29,32,27,34,734,877
NC072,municipality-NC072,Umsobomvu,4786,471,434,60,68,89,85,72,61,1711,1735
NC073,municipality-NC073,Emthanjeni,7046,519,420,39,30,139,142,107,103,2791,2756
NC074,municipality-NC074,Kareeberg,1735,190,153,27,16,20,24,19,10,660,616
NC075,municipality-NC075,Renosterberg,1723,128,120,18,20,21,32,18,30,634,702
NC076,municipality-NC076,Thembelihle,2683,224,223,40,28,56,56,18,18,1007,1013
NC078,municipality-NC078,Siyancuma,6151,353,319,28,34,94,112,59,60,2580,2512
NC081,municipality-NC081,Mier,1125,93,86,0,2,17,12,8,11,444,452
NC082,municipality-NC082,Kai !Garib,13969,789,866,108,108,155,159,85,104,5374,6221
NC083,municipality-NC083,//Khara Hais,16624,1305,1225,205,194,505,480,261,255,6120,6074
NC084,municipality-NC084,!Kheis,2479,267,265,20,14,28,24,10,12,912,927
NC086,municipality-NC086,Kgatelopele,3313,427,425,34,67,101,108,41,39,1015,1056
NC091,municipality-NC091,Sol Plaatjie,43511,4847,4518,1189,1101,1459,1383,711,728,13858,13717
NC092,municipality-NC092,Dikgatlong,8145,1095,989,48,61,121,131,45,44,2805,2806
NC093,municipality-NC093,Magareng,4377,495,511,32,31,46,40,29,31,1543,1619
NC451,municipality-NC451,Joe Morolong,16140,1350,1186,147,164,98,121,69,86,6723,6196
