geo_code,geoid,name,youth,Communication,"Hearing, even when using a hearing aid",Remembering,"Seeing, even when using eye glasses",Self care,Walking
NW394,municipality-NW394,Greater Taung,31464,311,724,1299,1872,405,332
NW397,municipality-NW397,Kagisano/Molopo,17272,212,602,647,1253,279,303
NW401,municipality-NW401,Ventersdorp,9277,138,227,295,436,150,115
NW402,municipality-NW402,Tlokwe City Council,30135,210,399,411,1516,252,226
NW403,municipality-NW403,City of Matlosana,64452,547,1355,1279,4181,662,583
NW404,municipality-NW404,Maquassi Hills,12962,138,336,293,718,191,204
NC061,municipality-NC061,Richtersveld,1599,12,21,14,78,17,12
NC064,municipality-NC064,Kamiesberg,1191,14,24,23,89,17,15
NC065,municipality-NC065,Hantam,3120,19,31,27,104,14,23
NC066,municipality-NC066,Karoo Hoogland,1504,14,26,22,104,23,19
NC067,municipality-NC067,Khâi-Ma,2038,18,57,27,74,35,22
NC072,municipality-NC072,Umsobomvu,4341,40,86,66,251,52,37
NC073,municipality-NC073,Emthanjeni,6583,54,67,63,285,59,44
NC074,municipality-NC074,Kareeberg,1600,16,27,17,87,32,20
NC075,municipality-NC075,Renosterberg,1566,12,17,9,82,9,17
NC076,municipality-NC076,Thembelihle,2529,7,31,25,92,14,22
NC078,municipality-NC078,Siyancuma,5696,47,77,92,205,78,48
NC081,municipality-NC081,Mier,1021,10,11,16,40,14,9
NC082,municipality-NC082,Kai !Garib,12733,87,188,165,430,119,110
NC083,municipality-NC083,//Khara Hais,15392,130,158,238,557,232,138
NC084,municipality-NC084,!Kheis,2278,27,21,28,70,20,13
NC086,municipality-NC086,Kgatelopele,3070,37,56,36,169,51,30
NC091,municipality-NC091,Sol Plaatjie,40181,326,618,738,2357,495,332
NC092,municipality-NC092,Dikgatlong,7443,74,163,146,451,128,61
NC093,municipality-NC093,Magareng,4056,33,74,67,237,50,41
NC451,municipality-NC451,Joe Morolong,14934,330,436,745,760,318,150
NC452,municipality-NC452,Ga-Segonyana,16419,133,291,265,874,238,145
NC453,municipality-NC453,Gamagara,6465,59,96,118,261,92,52
CPT,municipality-CPT,City of Cape Town,600926,4338,6235,6445,23405,5150,4745
WC011,municipality-WC011,Matzikama,10007,99,139,120,337,125,117
WC013,municipality-WC013,Bergrivier,8694,73,71,83,225,62,59
WC014,municipality-WC014,Saldanha Bay,15670,99,153,145,520,114,106
WC015,municipality-WC015,Swartland,16796,100,154,126,479,150,102
WC022,municipality-WC022,Witzenberg,19911,89,154,112,536,123,114
WC023,municipality-WC023,Drakenstein,41523,226,285,319,1111,504,240
WC025,municipality-WC025,Breede Valley,26768,214,273,268,803,278,223
WC026,municipality-WC026,Langeberg,15436,120,186,143,372,143,122
WC031,municipality-WC031,Theewaterskloof,16956,100,138,127,374,131,108
WC032,municipality-WC032,Overstrand,10565,73,134,106,351,78,75
WC034,municipality-WC034,Swellendam,5373,51,33,47,108,43,45
WC041,municipality-WC041,Kannaland,3683,33,35,48,125,47,45
WC042,municipality-WC042,Hessequa,7007,37,41,59,212,59,53
WC043,municipality-WC043,Mossel Bay,12245,102,144,125,365,145,116
