geo_code,geoid,name,total,Have electricity for everything-Female,Have electricity for everything-Male,Have electricity for some things-Female,Have electricity for some things-Male,No electricity-Female,No electricity-Male
KZN291,municipality-KZN291,Mandeni,29344,8147,7923,3800,3874,2857,2743
KZN293,municipality-KZN293,Ndwedwe,29706,2808,2693,2843,2947,9340,9075
KZN294,municipality-KZN294,Maphumulo,20806,1693,1572,2153,1957,7198,6233
KZN431,municipality-KZN431,Ingwe,20922,797,955,4273,4361,5458,5078
KZN432,municipality-KZN432,Kwa Sani,2289,165,215,481,580,395,453
KZN434,municipality-KZN434,Ubuhlebezwe,21197,1474,1399,4359,4670,4801,4494
KZN435,municipality-KZN435,Umzimkhulu,39554,2797,2601,11181,10277,6731,5967
LIM331,municipality-LIM331,Greater Giyani,57701,4131,4086,23189,22059,2207,2029
LIM332,municipality-LIM332,Greater Letaba,50158,4390,5072,18914,18591,1519,1672
LIM333,municipality-LIM333,Greater Tzaneen,82939,12046,12268,24982,24726,4503,4414
LIM335,municipality-LIM335,Maruleng,20871,1335,1381,8511,8421,651,572
LIM341,municipality-LIM341,Musina,12998,3460,2944,2059,1825,1258,1452
LIM342,municipality-LIM342,Mutale,20643,960,1049,8007,7884,1396,1347
LIM343,municipality-LIM343,Thulamela,144444,16241,16739,49325,47981,7091,7067
LIM344,municipality-LIM344,Makhado,110235,12731,14335,38118,37131,3908,4012
LIM351,municipality-LIM351,Blouberg,36614,3458,3555,13562,12925,1548,1566
LIM353,municipality-LIM353,Molemole,23476,6845,7061,4461,4505,248,356
LIM354,municipality-LIM354,Polokwane,136895,40024,37891,20317,20504,9099,9060
LIM355,municipality-LIM355,Lepele-Nkumpi,48130,10374,10399,12281,12350,1392,1334
LIM361,municipality-LIM361,Thabazimbi,13427,4224,4462,855,1085,1147,1654
LIM362,municipality-LIM362,Lephalale,24148,5323,6581,4650,4934,1185,1475
LIM365,municipality-LIM365,Modimolle,12536,3759,3786,1437,1468,1047,1039
LIM366,municipality-LIM366,Bela-Bela,11809,3571,3586,1459,1618,760,815
BUF,municipality-BUF,Buffalo City,142384,29347,27275,32328,32662,10780,9992
EC101,municipality-EC101,Camdeboo,9294,3044,3210,1345,1410,147,138
EC105,municipality-EC105,Ndlambe,9742,1873,1917,2379,2432,565,576
EC122,municipality-EC122,Mnquma,51967,5440,5263,12182,12696,7842,8544
EC128,municipality-EC128,Nxuba,4207,918,815,1041,1199,97,137
EC135,municipality-EC135,Intsika Yethu,27349,1763,1942,6862,8088,4104,4590
EC144,municipality-EC144,Gariep,5957,746,827,1906,2116,188,174
EC157,municipality-EC157,King Sabata Dalindyebo,105778,10370,8891,30185,29015,14189,13128
