geo_code,geoid,name,total,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+
KZN285,municipality-KZN285,Mthonjaneni,42141,14144,6983,3555,2290,2103,1526,1594,2238,1825,2096,1431,1084,632,640
KZN286,municipality-KZN286,Nkandla,102509,37606,19600,8538,5881,5680,5025,5396,3991,2619,2150,1630,1394,1352,1647
KZN291,municipality-KZN291,Mandeni,122104,33405,19425,12154,7644,5910,4114,3561,8119,6909,7942,5466,3535,2131,1789
KZN293,municipality-KZN293,Ndwedwe,124515,41401,22809,11460,7866,7394,6133,6083,5235,4011,3314,2394,2133,1982,2300
KZN294,municipality-KZN294,Maphumulo,86855,31996,16319,6656,4967,4811,4391,4754,3689,2393,1567,1293,1110,1283,1626
KZN431,municipality-KZN431,Ingwe,90374,32675,16104,7900,5614,4859,4097,3601,3984,2609,2524,2017,1516,1357,1517
KZN432,municipality-KZN432,Kwa Sani,10889,2290,1216,841,551,413,291,220,621,788,1368,964,576,415,335
KZN434,municipality-KZN434,Ubuhlebezwe,88231,29657,15568,7735,5608,5136,4270,3769,4017,2866,2838,2148,1714,1336,1569
KZN435,municipality-KZN435,Umzimkhulu,161658,61297,30319,13607,9458,8330,6776,7364,6785,4450,3344,2927,2319,1974,2708
LIM331,municipality-LIM331,Greater Giyani,218995,71027,41624,21608,13649,10538,6889,9843,12091,8056,6014,5781,4708,2858,4309
LIM332,municipality-LIM332,Greater Letaba,192952,60680,37473,17888,12302,9596,7081,10350,8422,6487,5936,5379,3947,2785,4626
LIM333,municipality-LIM333,Greater Tzaneen,353503,94692,58029,35065,23860,17159,11567,13699,21674,15461,17348,15896,12505,7743,8805
LIM335,municipality-LIM335,Maruleng,82828,26178,15218,8500,5430,4004,2782,3421,3586,2566,3121,2977,2172,1324,1549
LIM341,municipality-LIM341,Musina,53800,10669,6642,5902,3260,1499,801,755,4102,4311,6973,4496,2277,1163,950
LIM342,municipality-LIM342,Mutale,83019,27979,14886,7671,5286,3742,2444,3833,4679,3031,2122,2211,1878,1075,2182
LIM343,municipality-LIM343,Thulamela,562652,166935,101253,54971,36620,26945,18024,25247,35506,25506,18112,17405,14544,8709,12875
LIM344,municipality-LIM344,Makhado,466483,136575,76426,41463,28824,21358,15317,24308,30654,20522,17874,17199,14271,8389,13303
LIM351,municipality-LIM351,Blouberg,146275,53275,27796,10915,8180,7124,5841,8763,5467,3937,3741,3358,2474,2014,3390
LIM353,municipality-LIM353,Molemole,96638,29927,15840,7538,5360,4367,3743,5506,5548,3940,3745,3414,2771,1985,2954
LIM354,municipality-LIM354,Polokwane,549067,116613,71141,42589,29297,20094,14299,17192,52831,42771,49526,37666,26235,14684,14129
LIM355,municipality-LIM355,Lepele-Nkumpi,206419,63349,33674,16302,11902,9467,7929,11975,12729,8193,7318,6863,6271,4196,6251
LIM361,municipality-LIM361,Thabazimbi,61912,6130,3711,3635,2476,1528,800,527,7082,6770,12497,7979,5343,2272,1162
LIM362,municipality-LIM362,Lephalale,92883,18431,10732,6083,3866,2821,2014,2453,7872,8876,12528,7213,5226,2728,2040
LIM365,municipality-LIM365,Modimolle,57875,12986,7242,5399,3896,2253,1241,1099,4363,3771,5138,3852,2681,1814,2140
LIM366,municipality-LIM366,Bela-Bela,54182,10154,6202,4510,3174,2178,1275,1218,4402,3749,5465,4273,3225,2097,2260
BUF,municipality-BUF,Buffalo City,637224,119277,70247,49712,39635,33081,21664,20722,62888,45065,51791,42948,36241,23724,20229
EC101,municipality-EC101,Camdeboo,42600,9562,5005,3370,2936,2444,1591,1297,3443,2395,2454,2435,2134,1717,1817
EC105,municipality-EC105,Ndlambe,53277,10828,6007,4634,4220,3316,2066,1923,3670,2372,3157,2985,2539,2403,3157
EC122,municipality-EC122,Mnquma,226839,72104,36779,14723,12389,14369,12931,15325,11328,7521,6074,5822,5255,4919,7300
EC128,municipality-EC128,Nxuba,21850,5612,2814,1888,1739,1526,1081,1165,1197,740,903,752,848,742,843
EC135,municipality-EC135,Intsika Yethu,131498,45644,20942,8352,7082,8597,8319,9967,5085,2925,2528,2470,2338,2638,4611
EC144,municipality-EC144,Gariep,31111,8201,4025,2745,2067,1664,1170,957,2036,1343,1603,1485,1459,1195,1161
EC157,municipality-EC157,King Sabata Dalindyebo,384083,118125,67035,30856,21316,18514,15040,16261,25460,19164,16779,13635,9869,6103,5926
NMA,municipality-NMA,Nelson Mandela Bay,995820,168246,103506,77841,62041,51382,32985,23232,98813,76211,83245,72734,61266,44977,39341
FS164,municipality-FS164,Naledi,21708,5968,3254,2014,1542,1036,883,823,1345,912,1016,828,685,639,763
FS191,municipality-FS191,Setsoto,101481,28286,15272,10748,7171,5304,4005,3472,5908,3815,4610,4029,3443,2661,2757
FS196,municipality-FS196,Mantsopa,46809,12008,6580,4345,3128,2375,1723,1405,3339,2290,2787,2208,1877,1506,1238
MAN,municipality-MAN,Mangaung,652360,116433,70684,47393,35751,27175,17541,15107,70285,59172,62279,48980,36058,24311,21191
EKU,municipality-EKU,Ekurhuleni,2577942,335652,203426,181086,122851,79759,45774,31655,327878,257229,380197,266916,171354,103115,71050
GT422,municipality-GT422,Midvaal,76614,8616,4675,4268,3382,2041,1255,875,9704,7836,9815,8520,6817,4833,3977
GT484,municipality-GT484,Merafong City,159607,23443,13449,10476,7322,5634,2928,1920,18549,14343,21361,17181,13606,5621,3774
JHB,municipality-JHB,City of Johannesburg,3420310,377690,232585,222664,146261,92147,54197,39613,460848,364522,578807,382262,230039,138980,99695
TSH,municipality-TSH,City of Tshwane,2330273,264536,163528,139498,95023,61712,38797,31089,314232,256421,348618,258458,174654,103335,80372
ETH,municipality-ETH,eThekwini,2852076,454505,306635,228869,139986,99240,66416,48181,302740,277188,312071,226031,173619,120891,95704
KZN216,municipality-KZN216,Hibiscus Coast,220203,45786,28542,19414,11868,9199,6250,6108,19113,15063,17004,13088,10051,8417,10300
KZN227,municipality-KZN227,Richmond,56503,16565,9232,5672,4029,2948,2296,1932,2832,2311,2908,2170,1405,1099,1104
KZN241,municipality-KZN241,Endumeni,55796,12319,7223,4451,2874,2156,1461,1177,5670,4168,4250,3381,2917,1995,1754
KZN253,municipality-KZN253,Emadlangeni,28998,9712,5050,2943,2105,1573,1153,1045,1271,853,931,708,605,507,542
KZN271,municipality-KZN271,Umhlabuyalingana,141361,52377,27300,13504,10195,7571,4318,5747,5601,3516,3203,2751,1756,1221,2301
