geo_code,geoid,name,total,Do not know-Female,Do not know-Male,Formal sector-Female,Formal sector-Male,Informal sector-Female,Informal sector-Male,Private household-Female,Private household-Male
LIM353,municipality-LIM353,Molemole,1943,6,17,403,587,142,302,129,357
LIM354,municipality-LIM354,Polokwane,17100,129,282,4982,7006,770,1728,794,1409
LIM355,municipality-LIM355,Lepele-Nkumpi,2491,17,23,728,947,154,345,120,157
LIM361,municipality-LIM361,Thabazimbi,4488,39,127,934,2171,168,462,146,441
LIM362,municipality-LIM362,Lephalale,5736,36,69,1189,2705,258,623,291,565
LIM365,municipality-LIM365,Modimolle,2867,29,62,744,1245,130,333,100,224
LIM366,municipality-LIM366,Bela-Bela,2632,43,65,617,973,166,378,102,288
BUF,municipality-BUF,Buffalo City,18708,214,257,6692,7014,1079,1383,1048,1021
EC101,municipality-EC101,Camdeboo,1755,14,48,446,713,99,308,77,50
EC105,municipality-EC105,Ndlambe,1698,17,39,506,655,101,168,94,118
EC122,municipality-EC122,Mnquma,2706,12,21,839,919,216,316,182,201
EC128,municipality-EC128,Nxuba,508,0,1,115,192,26,100,14,60
EC135,municipality-EC135,Intsika Yethu,1494,17,30,378,544,117,203,99,106
EC144,municipality-EC144,Gariep,1244,6,10,260,442,93,220,44,169
EC157,municipality-EC157,King Sabata Dalindyebo,8135,69,79,2759,2658,642,717,758,453
NMA,municipality-NMA,Nelson Mandela Bay,30783,380,529,11366,13062,1171,1860,1072,1343
FS164,municipality-FS164,Naledi,608,2,4,174,171,32,82,38,105
FS191,municipality-FS191,Setsoto,2447,30,58,593,971,100,270,152,273
FS196,municipality-FS196,Mantsopa,1533,21,34,353,606,112,212,65,130
MAN,municipality-MAN,Mangaung,25022,340,499,7455,9637,1308,2340,1304,2139
EKU,municipality-EKU,Ekurhuleni,134583,1536,2483,44122,62612,4074,8551,4536,6669
GT422,municipality-GT422,Midvaal,4866,78,119,1356,2027,170,330,218,568
GT484,municipality-GT484,Merafong City,7062,38,97,1956,3553,216,588,203,411
JHB,municipality-JHB,City of Johannesburg,209263,2151,3431,73876,90138,6570,12029,9450,11618
TSH,municipality-TSH,City of Tshwane,124168,1532,2151,42591,51219,4909,8721,5703,7342
ETH,municipality-ETH,eThekwini,139920,1533,2361,51726,62156,4667,7479,4881,5117
KZN216,municipality-KZN216,Hibiscus Coast,8279,79,94,2819,3161,558,772,416,380
KZN227,municipality-KZN227,Richmond,2222,36,54,616,786,179,401,52,98
KZN241,municipality-KZN241,Endumeni,2074,11,27,630,947,63,165,94,137
KZN253,municipality-KZN253,Emadlangeni,810,2,6,217,219,74,235,8,49
KZN271,municipality-KZN271,Umhlabuyalingana,1702,23,20,677,595,120,150,54,63
KZN282,municipality-KZN282,uMhlathuze,11114,94,130,3929,4684,534,823,524,396
KZN292,municipality-KZN292,KwaDukuza,11322,83,134,3143,4446,877,1675,447,517
KZN433,municipality-KZN433,Greater Kokstad,2784,11,30,846,1081,186,280,148,202
LIM334,municipality-LIM334,Ba-Phalaborwa,3074,23,52,912,1358,114,274,122,219
LIM352,municipality-LIM352,Aganang,1101,8,22,314,371,67,164,50,105
LIM364,municipality-LIM364,Mookgopong,2009,27,50,345,544,196,405,124,318
LIM367,municipality-LIM367,Mogalakwena,4946,19,67,1435,2038,236,625,186,340
LIM471,municipality-LIM471,Ephraim Mogale,2879,27,42,733,1189,146,347,124,271
LIM472,municipality-LIM472,Elias Motsoaledi,4235,37,67,1138,1630,283,574,166,340
LIM473,municipality-LIM473,Makhuduthamaga,1984,15,28,651,711,107,318,54,100
LIM474,municipality-LIM474,Fetakgomo,746,0,8,219,305,37,119,19,39
LIM475,municipality-LIM475,Greater Tubatse,5414,43,87,1388,2384,278,754,145,335
MP301,municipality-MP301,Albert Luthuli,4141,41,104,1197,1619,305,574,115,186
MP302,municipality-MP302,Msukaligwa,6126,45,107,1666,2592,339,834,171,372
MP304,municipality-MP304,Pixley Ka Seme,1801,9,12,521,773,62,270,55,99
MP305,municipality-MP305,Lekwa,4358,36,79,1144,1954,160,663,120,202
MP306,municipality-MP306,Dipaleseng,1365,5,8,325,746,34,123,40,84
MP307,municipality-MP307,Govan Mbeki,13214,139,266,3676,6691,351,914,380,797
MP312,municipality-MP312,Emalahleni,17431,122,308,4852,8576,517,1513,468,1075
MP313,municipality-MP313,Steve Tshwete,11390,113,255,3030,5335,382,1078,416,781
MP314,municipality-MP314,Emakhazeni,1831,18,21,376,720,120,303,78,195
MP315,municipality-MP315,Thembisile,6235,43,102,1602,2040,517,1077,322,532
MP316,municipality-MP316,Dr JS Moroka,2946,13,47,762,966,239,540,108,271
MP321,municipality-MP321,Thaba Chweu,4823,66,133,1288,1994,190,524,181,447
MP323,municipality-MP323,Umjindi,2576,23,37,689,922,158,337,119,291
MP324,municipality-MP324,Nkomazi,11591,66,213,2982,4108,941,2332,317,632
MP325,municipality-MP325,Bushbuckridge,6156,13,49,1902,2187,430,800,271,504
NW371,municipality-NW371,Moretele,3172,17,62,817,1255,168,439,120,294
NW372,municipality-NW372,Madibeng,19738,178,403,4356,8931,840,2381,725,1924
NW374,municipality-NW374,Kgetlengrivier,2241,18,56,368,769,139,504,70,317
NW375,municipality-NW375,Moses Kotane,5238,16,51,1383,2508,270,545,119,346
NW381,municipality-NW381,Ratlou,1297,10,29,262,433,74,187,61,241
NW382,municipality-NW382,Tswaing,2647,8,25,480,1045,118,536,86,349
NW383,municipality-NW383,Mafikeng,5812,26,74,1695,2005,374,837,276,525
NW385,municipality-NW385,Ramotshere Moiloa,2616,15,44,569,1133,88,333,116,318
NW392,municipality-NW392,Naledi,2306,22,52,494,759,138,315,115,411
NW393,municipality-NW393,Mamusa,1430,14,37,317,507,50,262,67,176
NW394,municipality-NW394,Greater Taung,1790,7,34,531,652,82,275,55,154
NW397,municipality-NW397,Kagisano/Molopo,2132,8,64,331,584,141,601,95,308
NW401,municipality-NW401,Ventersdorp,1744,11,36,273,611,121,457,58,177
NW402,municipality-NW402,Tlokwe City Council,6618,99,127,1931,2365,412,828,271,585
NW403,municipality-NW403,City of Matlosana,12123,97,193,3613,5459,425,1091,399,846
NW404,municipality-NW404,Maquassi Hills,2098,15,47,388,826,80,467,76,199
NC061,municipality-NC061,Richtersveld,621,9,8,225,299,36,36,2,6
NC064,municipality-NC064,Kamiesberg,265,0,0,84,131,12,26,4,8
NC065,municipality-NC065,Hantam,928,10,15,227,360,47,143,41,85
NC066,municipality-NC066,Karoo Hoogland,470,5,5,100,232,35,68,14,11
NC067,municipality-NC067,Khâi-Ma,994,3,2,337,472,50,80,21,29
NC072,municipality-NC072,Umsobomvu,841,14,16,232,336,43,115,31,54
NC073,municipality-NC073,Emthanjeni,1265,8,15,334,451,95,204,75,83
NC074,municipality-NC074,Kareeberg,407,7,12,107,159,16,70,13,23
NC075,municipality-NC075,Renosterberg,453,1,5,122,142,61,109,5,8
NC076,municipality-NC076,Thembelihle,638,13,21,160,278,38,92,18,18
NC078,municipality-NC078,Siyancuma,1166,10,56,233,432,58,193,50,134
NC081,municipality-NC081,Mier,257,0,0,79,109,16,40,6,7
NC082,municipality-NC082,Kai !Garib,8025,81,77,2495,3231,454,839,348,500
NC083,municipality-NC083,//Khara Hais,3459,39,55,1033,1390,235,437,93,177
NC084,municipality-NC084,!Kheis,639,0,6,180,315,33,90,5,10
NC086,municipality-NC086,Kgatelopele,750,6,14,178,422,22,53,23,32
NC091,municipality-NC091,Sol Plaatjie,7197,63,54,2537,2842,287,636,340,438
NC092,municipality-NC092,Dikgatlong,970,8,44,218,426,47,124,19,84
NC093,municipality-NC093,Magareng,420,4,7,127,206,13,30,10,23
NC451,municipality-NC451,Joe Morolong,980,12,20,242,368,41,139,41,117
NC452,municipality-NC452,Ga-Segonyana,2064,19,62,557,974,59,153,83,157
NC453,municipality-NC453,Gamagara,2439,20,44,628,1355,57,198,59,78
CPT,municipality-CPT,City of Cape Town,165247,1837,2379,63821,70062,6532,9962,4791,5863
WC011,municipality-WC011,Matzikama,3895,17,10,1358,1924,179,336,46,25
WC013,municipality-WC013,Bergrivier,4175,18,44,1715,1940,127,185,73,73
WC014,municipality-WC014,Saldanha Bay,5227,69,92,2043,2275,185,307,96,160
WC015,municipality-WC015,Swartland,6765,55,85,2475,3351,214,351,125,109
WC022,municipality-WC022,Witzenberg,9654,35,62,3390,4775,491,677,95,129
WC023,municipality-WC023,Drakenstein,13138,101,114,4909,5719,772,972,214,337
WC025,municipality-WC025,Breede Valley,9512,124,82,3595,3571,856,994,126,164
WC026,municipality-WC026,Langeberg,6305,43,49,1614,2148,952,1274,84,141
WC031,municipality-WC031,Theewaterskloof,6566,72,109,2161,2914,401,773,46,90
WC032,municipality-WC032,Overstrand,3589,43,58,1253,1277,217,417,132,192
WC034,municipality-WC034,Swellendam,2032,13,48,595,1014,87,191,42,42
WC041,municipality-WC041,Kannaland,1131,26,31,252,412,130,235,16,29
WC042,municipality-WC042,Hessequa,2472,49,97,654,920,189,394,89,80
WC043,municipality-WC043,Mossel Bay,3555,86,105,1234,1372,229,346,74,109
