geo_code,geoid,name,total,No,Unspecified,Yes
TSH,municipality-TSH,City of Tshwane,524206,33748,3223,487235
ETH,municipality-ETH,eThekwini,697570,10758,4405,682407
KZN216,municipality-KZN216,Hibiscus Coast,49407,233,293,48881
KZN227,municipality-KZN227,Richmond,12625,179,26,12420
KZN241,municipality-KZN241,Endumeni,12606,99,42,12465
KZN253,municipality-KZN253,Emadlangeni,6444,46,10,6388
KZN271,municipality-KZN271,Umhlabuyalingana,33535,189,142,33204
KZN282,municipality-KZN282,uMhlathuze,68950,752,372,67826
KZN292,municipality-KZN292,KwaDukuza,45473,1680,131,43662
KZN433,municipality-KZN433,Greater Kokstad,13606,135,61,13410
LIM334,municipality-LIM334,Ba-Phalaborwa,30036,756,90,29190
LIM352,municipality-LIM352,Aganang,27546,295,66,27185
LIM364,municipality-LIM364,Mookgopong,6074,920,34,5120
LIM367,municipality-LIM367,Mogalakwena,64077,1262,149,62666
LIM471,municipality-LIM471,Ephraim Mogale,25344,1601,108,23635
LIM472,municipality-LIM472,Elias Motsoaledi,52346,1404,134,50808
LIM473,municipality-LIM473,Makhuduthamaga,56376,406,126,55844
LIM474,municipality-LIM474,Fetakgomo,19289,167,99,19023
LIM475,municipality-LIM475,Greater Tubatse,71224,899,169,70156
MP301,municipality-MP301,Albert Luthuli,41565,956,106,40503
MP302,municipality-MP302,Msukaligwa,28685,481,122,28082
MP304,municipality-MP304,Pixley Ka Seme,15939,131,51,15757
MP305,municipality-MP305,Lekwa,20777,305,56,20416
MP306,municipality-MP306,Dipaleseng,7927,93,34,7800
MP307,municipality-MP307,Govan Mbeki,56242,1795,303,54144
MP312,municipality-MP312,Emalahleni,74978,3308,309,71361
MP313,municipality-MP313,Steve Tshwete,41011,1585,228,39198
MP314,municipality-MP314,Emakhazeni,8434,231,25,8178
MP315,municipality-MP315,Thembisile,64643,1013,233,63397
MP316,municipality-MP316,Dr JS Moroka,52032,646,151,51235
MP321,municipality-MP321,Thaba Chweu,16702,716,97,15889
MP323,municipality-MP323,Umjindi,12035,781,55,11199
MP324,municipality-MP324,Nkomazi,92194,6800,725,84669
MP325,municipality-MP325,Bushbuckridge,125754,822,301,124631
NW371,municipality-NW371,Moretele,35190,557,73,34560
NW372,municipality-NW372,Madibeng,86076,9710,367,75999
NW374,municipality-NW374,Kgetlengrivier,8810,344,42,8424
NW375,municipality-NW375,Moses Kotane,42599,1026,114,41459
NW381,municipality-NW381,Ratlou,19712,117,46,19549
NW382,municipality-NW382,Tswaing,23271,129,38,23104
NW383,municipality-NW383,Mafikeng,58043,1052,133,56858
NW385,municipality-NW385,Ramotshere Moiloa,26142,439,50,25653
NW392,municipality-NW392,Naledi,11813,128,35,11650
NW393,municipality-NW393,Mamusa,11126,97,21,11008
NW394,municipality-NW394,Greater Taung,33441,233,100,33108
NW397,municipality-NW397,Kagisano/Molopo,18691,150,137,18404
NW401,municipality-NW401,Ventersdorp,9913,161,23,9729
NW402,municipality-NW402,Tlokwe City Council,32779,716,135,31928
NW403,municipality-NW403,City of Matlosana,70522,2113,219,68190
NW404,municipality-NW404,Maquassi Hills,14123,123,35,13965
NC061,municipality-NC061,Richtersveld,1723,6,6,1711
NC064,municipality-NC064,Kamiesberg,1308,6,1,1301
NC065,municipality-NC065,Hantam,3311,17,11,3283
NC066,municipality-NC066,Karoo Hoogland,1605,2,2,1601
NC067,municipality-NC067,Khâi-Ma,2158,15,9,2134
NC072,municipality-NC072,Umsobomvu,4798,48,5,4745
NC073,municipality-NC073,Emthanjeni,7070,65,11,6994
NC074,municipality-NC074,Kareeberg,1739,6,0,1733
NC075,municipality-NC075,Renosterberg,1727,16,17,1694
NC076,municipality-NC076,Thembelihle,2697,24,4,2669
NC078,municipality-NC078,Siyancuma,6170,49,22,6099
NC081,municipality-NC081,Mier,1132,12,1,1119
NC082,municipality-NC082,Kai !Garib,14042,75,30,13937
NC083,municipality-NC083,//Khara Hais,16685,223,39,16423
NC084,municipality-NC084,!Kheis,2485,26,1,2458
NC086,municipality-NC086,Kgatelopele,3316,21,2,3293
NC091,municipality-NC091,Sol Plaatjie,43669,489,130,43050
NC092,municipality-NC092,Dikgatlong,8169,113,20,8036
NC093,municipality-NC093,Magareng,4382,39,7,4336
NC451,municipality-NC451,Joe Morolong,16163,167,37,15959
NC452,municipality-NC452,Ga-Segonyana,17881,259,55,17567
NC453,municipality-NC453,Gamagara,7157,107,33,7017
CPT,municipality-CPT,City of Cape Town,661974,25430,4875,631669
WC011,municipality-WC011,Matzikama,11327,123,96,11108
WC013,municipality-WC013,Bergrivier,9517,202,91,9224
WC014,municipality-WC014,Saldanha Bay,17073,265,133,16675
WC015,municipality-WC015,Swartland,18028,235,63,17730
WC022,municipality-WC022,Witzenberg,21404,828,134,20442
WC023,municipality-WC023,Drakenstein,45044,707,404,43933
WC025,municipality-WC025,Breede Valley,29058,1054,157,27847
WC026,municipality-WC026,Langeberg,16930,457,214,16259
WC031,municipality-WC031,Theewaterskloof,18629,375,253,18001
WC032,municipality-WC032,Overstrand,11464,368,128,10968
WC034,municipality-WC034,Swellendam,5870,125,14,5731
WC041,municipality-WC041,Kannaland,4058,32,26,4000
WC042,municipality-WC042,Hessequa,7627,71,36,7520
WC043,municipality-WC043,Mossel Bay,13729,191,120,13418
