,total_amount,account_type,mun_code,mun_name,label,Province
2013,0.0,AUDA,MP302,Msukaligwa,Total Repairs and Maintenance Expenditure,Free State
2013,10213000.0,AUDA,MP303,Mkhondo,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP304,Dr Pixley Ka Isaka Seme,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,31405000.0,AUDA,MP305,Lekwa,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,4529185.0,AUDA,MP306,Dipaleseng,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP307,Govan Mbeki,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,14419283.0,AUDA,MP311,Victor Khanye,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,110671182.0,AUDA,MP312,Emalahleni,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP313,Steve Tshwete,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP314,Emakhazeni,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP315,Thembisile,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,273026000.0,AUDA,MP316,Dr JS Moroka,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP321,Thaba Chweu,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,133783000.0,AUDA,MP322,Mbombela,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP323,Umjindi,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,22682313.0,AUDA,MP324,Nkomazi,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,39299812.0,AUDA,MP325,Bushbuckridge,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,MP326,Mbombela,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,1310452.0,AUDA,NC061,Richtersveld,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,NC062,Nama Khoi,Total Repairs and Maintenance Expenditure,Northern Cape
2013,2051000.0,AUDA,NC064,Kamiesberg,Total Repairs and Maintenance Expenditure,Northern Cape
2013,2907715.0,AUDA,NC065,Hantam,Total Repairs and Maintenance Expenditure,Northern Cape
2013,1603991.0,AUDA,NC066,Karoo Hoogland,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC067,Khâi-Ma,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC071,Ubuntu,Total Repairs and Maintenance Expenditure,Northern Cape
2013,2108005.0,AUDA,NC072,Umsobomvu,Total Repairs and Maintenance Expenditure,Northern Cape
2013,8470541.0,AUDA,NC073,Emthanjeni,Total Repairs and Maintenance Expenditure,Northern Cape
2013,734387.0,AUDA,NC074,Kareeberg,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC075,Renosterberg,Total Repairs and Maintenance Expenditure,Northern Cape
2013,1900026.0,AUDA,NC076,Thembelihle,Total Repairs and Maintenance Expenditure,Northern Cape
2013,3094000.0,AUDA,NC077,Siyathemba,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC078,Siyancuma,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC081,Mier,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC082,Kai !Garib,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC083,//Khara Hais,Total Repairs and Maintenance Expenditure,Northern Cape
2013,10873495.0,AUDA,NC084,!Kheis,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC085,Tsantsabane,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC086,Kgatelopele,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC087,Dawid Kruiper,Total Repairs and Maintenance Expenditure,Northern Cape
2013,68982050.0,AUDA,NC091,Sol Plaatjie,Total Repairs and Maintenance Expenditure,Northern Cape
2013,656000.0,AUDA,NC092,Dikgatlong,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC093,Magareng,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC094,Phokwane,Total Repairs and Maintenance Expenditure,Northern Cape
2013,11683146.0,AUDA,NC451,Joe Morolong,Total Repairs and Maintenance Expenditure,Northern Cape
