,geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
60,municipality,FS192,municipality-FS192,Dihlabeng,3730,81,26,55,2785,1043,1742,451,166,285,413,142,271,Free State
61,municipality,FS193,municipality-FS193,Nketoana,1666,20,2,18,1192,356,836,299,92,207,155,53,102,Free State
62,municipality,FS194,municipality-FS194,Maluti a Phofung,6033,209,82,127,4026,1844,2182,1185,426,759,613,225,388,Free State
63,municipality,FS195,municipality-FS195,Phumelela,1523,40,14,26,1168,287,881,210,42,168,105,39,66,Free State
64,municipality,FS201,municipality-FS201,Moqhaka,3936,86,32,54,2503,922,1581,824,192,632,523,151,372,Free State
65,municipality,FS203,municipality-FS203,Ngwathe,3154,79,34,45,2137,891,1246,624,161,463,314,94,220,Free State
66,municipality,FS204,municipality-FS204,Metsimaholo,5106,160,55,105,3966,1355,2611,493,147,346,487,171,316,Free State
67,municipality,FS205,municipality-FS205,Mafube,1396,53,12,41,823,258,565,349,68,281,171,41,130,Gauteng
68,municipality,GT421,municipality-GT421,Emfuleni,22778,541,205,336,17703,7485,10218,2403,841,1562,2131,817,1314,Gauteng
69,municipality,GT423,municipality-GT423,Lesedi,4021,176,65,111,2933,1085,1848,513,147,366,399,119,280,Gauteng
70,municipality,GT481,municipality-GT481,Mogale City,15985,518,199,319,11571,4855,6716,1886,676,1210,2010,758,1252,Gauteng
71,municipality,GT482,municipality-GT482,Randfontein,6063,196,75,121,4689,1942,2747,623,205,418,555,186,369,Gauteng
72,municipality,GT483,municipality-GT483,Westonaria,4609,112,28,84,3472,1114,2358,621,150,471,404,108,296,KwaZulu-Natal
73,municipality,KZN211,municipality-KZN211,Vulamehlo,885,16,10,6,619,306,313,167,45,122,83,34,49,KwaZulu-Natal
74,municipality,KZN212,municipality-KZN212,Umdoni,2296,65,28,37,1660,760,900,369,137,232,202,88,114,KwaZulu-Natal
75,municipality,KZN213,municipality-KZN213,Umzumbe,1686,18,6,12,1150,574,576,371,156,215,147,77,70,KwaZulu-Natal
76,municipality,KZN214,municipality-KZN214,UMuziwabantu,1752,39,12,27,1306,585,721,302,96,206,105,38,67,KwaZulu-Natal
77,municipality,KZN215,municipality-KZN215,Ezingoleni,784,23,10,13,529,245,284,124,51,73,108,52,56,KwaZulu-Natal
78,municipality,KZN221,municipality-KZN221,uMshwathi,3798,233,105,128,2460,1196,1264,796,326,470,309,137,172,KwaZulu-Natal
79,municipality,KZN222,municipality-KZN222,uMngeni,4213,138,51,87,3219,1447,1772,486,197,289,370,170,200,KwaZulu-Natal
80,municipality,KZN223,municipality-KZN223,Mpofana,1683,89,43,46,1067,485,582,411,139,272,116,36,80,KwaZulu-Natal
81,municipality,KZN224,municipality-KZN224,Impendle,342,21,5,16,258,115,143,46,19,27,17,8,9,KwaZulu-Natal
82,municipality,KZN225,municipality-KZN225,The Msunduzi,18982,524,223,301,14390,6807,7583,2308,921,1387,1760,902,858,KwaZulu-Natal
83,municipality,KZN226,municipality-KZN226,Mkhambathini,2190,91,31,60,1452,630,822,472,206,266,175,72,103,KwaZulu-Natal
84,municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,5979,135,51,84,4575,2111,2464,844,350,494,425,196,229,KwaZulu-Natal
85,municipality,KZN233,municipality-KZN233,Indaka,700,7,1,6,591,328,263,81,36,45,21,9,12,KwaZulu-Natal
86,municipality,KZN234,municipality-KZN234,Umtshezi,1620,59,27,32,1216,543,673,256,103,153,89,38,51,KwaZulu-Natal
87,municipality,KZN235,municipality-KZN235,Okhahlamba,1909,48,23,25,1323,585,738,394,131,263,144,37,107,KwaZulu-Natal
88,municipality,KZN236,municipality-KZN236,Imbabazane,1611,52,17,35,1285,591,694,192,74,118,82,35,47,KwaZulu-Natal
89,municipality,KZN242,municipality-KZN242,Nqutu,1789,19,6,13,1227,630,597,214,86,128,329,201,128,KwaZulu-Natal
90,municipality,KZN244,municipality-KZN244,Msinga,1389,11,6,5,1165,659,506,152,81,71,61,28,33,KwaZulu-Natal
91,municipality,KZN245,municipality-KZN245,Umvoti,2779,96,52,44,1636,843,793,815,414,401,232,118,114,KwaZulu-Natal
92,municipality,KZN252,municipality-KZN252,Newcastle,7587,289,111,178,5633,2549,3084,1103,452,651,562,241,321,KwaZulu-Natal
93,municipality,KZN254,municipality-KZN254,Dannhauser,1542,59,28,31,961,442,519,336,125,211,186,37,149,KwaZulu-Natal
94,municipality,KZN261,municipality-KZN261,eDumbe,1698,46,18,28,1038,452,586,491,126,365,123,41,82,KwaZulu-Natal
95,municipality,KZN262,municipality-KZN262,UPhongolo,3097,251,116,135,1835,818,1017,772,311,461,239,119,120,KwaZulu-Natal
96,municipality,KZN263,municipality-KZN263,Abaqulusi,3863,78,38,40,2942,1358,1584,578,189,389,265,135,130,KwaZulu-Natal
97,municipality,KZN265,municipality-KZN265,Nongoma,2204,19,11,8,1831,1018,813,241,105,136,113,75,38,KwaZulu-Natal
98,municipality,KZN266,municipality-KZN266,Ulundi,2032,25,10,15,1574,832,742,257,122,135,176,98,78,KwaZulu-Natal
99,municipality,KZN272,municipality-KZN272,Jozini,2672,58,25,33,2103,1124,979,332,161,171,179,81,98,KwaZulu-Natal
100,municipality,KZN273,municipality-KZN273,The Big 5 False Bay,897,34,16,18,595,298,297,129,60,69,139,71,68,KwaZulu-Natal
101,municipality,KZN274,municipality-KZN274,Hlabisa,895,21,9,12,706,383,323,110,50,60,58,25,33,KwaZulu-Natal
102,municipality,KZN275,municipality-KZN275,Mtubatuba,3531,181,73,108,2331,1201,1130,632,278,354,387,225,162,KwaZulu-Natal
103,municipality,KZN281,municipality-KZN281,Mfolozi,2325,51,22,29,1745,735,1010,413,147,266,116,56,60,KwaZulu-Natal
104,municipality,KZN283,municipality-KZN283,Ntambanana,1054,21,11,10,857,433,424,134,48,86,42,18,24,KwaZulu-Natal
105,municipality,KZN284,municipality-KZN284,uMlalazi,3844,207,76,131,2764,1332,1432,531,233,298,342,158,184,KwaZulu-Natal
106,municipality,KZN285,municipality-KZN285,Mthonjaneni,1361,64,38,26,1091,549,542,134,56,78,72,37,35,KwaZulu-Natal
107,municipality,KZN286,municipality-KZN286,Nkandla,1077,23,11,12,918,498,420,111,54,57,25,15,10,KwaZulu-Natal
108,municipality,KZN291,municipality-KZN291,Mandeni,4864,88,40,48,3881,1785,2096,634,288,346,261,137,124,KwaZulu-Natal
109,municipality,KZN293,municipality-KZN293,Ndwedwe,1802,35,10,25,1145,562,583,534,175,359,88,45,43,KwaZulu-Natal
110,municipality,KZN294,municipality-KZN294,Maphumulo,1113,6,2,4,955,493,462,122,59,63,30,22,8,KwaZulu-Natal
111,municipality,KZN431,municipality-KZN431,Ingwe,1567,95,29,66,979,434,545,356,114,242,137,45,92,KwaZulu-Natal
112,municipality,KZN432,municipality-KZN432,Kwa Sani,902,116,26,90,570,226,344,132,38,94,84,34,50,KwaZulu-Natal
113,municipality,KZN434,municipality-KZN434,Ubuhlebezwe,1886,67,17,50,1404,619,785,323,119,204,92,39,53,KwaZulu-Natal
114,municipality,KZN435,municipality-KZN435,Umzimkhulu,2161,50,25,25,1655,847,808,302,112,190,154,77,77,Limpopo
115,municipality,LIM331,municipality-LIM331,Greater Giyani,2665,44,26,18,1942,944,998,416,141,275,263,91,172,Limpopo
116,municipality,LIM332,municipality-LIM332,Greater Letaba,4015,116,30,86,2372,856,1516,1185,350,835,342,84,258,Limpopo
117,municipality,LIM333,municipality-LIM333,Greater Tzaneen,7792,208,81,127,4879,1934,2945,1550,452,1098,1155,322,833,Limpopo
