,Unnamed: 0,Name,Code,Province
150,165,Maquassi Hills Local Municipality,NW404,North West
151,166,Maruleng Local Municipality,LIM335,Limpopo
152,167,Masilonyana Local Municipality,FS181,Free State
153,168,Matatiele Local Municipality,EC441,Eastern Cape
154,169,Matjhabeng Local Municipality,FS184,Free State
155,170,Matzikama Local Municipality,WC011,Western Cape
156,171,Mbhashe Local Municipality,EC121,Eastern Cape
157,172,Mbizana Local Municipality,EC443,Eastern Cape
158,173,Mbombela Local Municipality,MP326,Mpumalanga
159,174,Merafong City Local Municipality,GT484,Gauteng
160,175,Metsimaholo Local Municipality,FS204,Free State
161,176,Mhlontlo Local Municipality,EC156,Eastern Cape
162,177,Midvaal Local Municipality,GT422,Gauteng
163,178,Mkhambathini Local Municipality,KZN226,KwaZulu-Natal
164,179,Mkhondo Local Municipality,MP303,Mpumalanga
165,180,Mnquma Local Municipality,EC122,Eastern Cape
166,181,Modimolle/Mookgophong Local Municipality,LIM368,Limpopo
167,182,Mogalakwena Local Municipality,LIM367,Limpopo
168,183,Mogale City Local Municipality,GT481,Gauteng
169,184,Mohokare Local Municipality,FS163,Free State
170,185,Molemole Local Municipality,LIM353,Limpopo
171,186,Moqhaka Local Municipality,FS201,Free State
172,187,Moretele Local Municipality,NW371,North West
173,188,Moses Kotane Local Municipality,NW375,North West
174,189,Mossel Bay Local Municipality,WC043,Western Cape
175,190,Mpofana Local Municipality,KZN223,KwaZulu-Natal
176,191,Msinga Local Municipality,KZN244,KwaZulu-Natal
177,192,Msukaligwa Local Municipality,MP302,Mpumalanga
178,193,Msunduzi Local Municipality,KZN225,KwaZulu-Natal
179,194,Mthonjaneni Local Municipality,KZN285,KwaZulu-Natal
180,195,Mtubatuba Local Municipality,KZN275,KwaZulu-Natal
181,196,Musina Local Municipality,LIM341,Limpopo
182,197,Nala Local Municipality,FS185,Free State
183,198,Naledi Local Municipality,NW392,North West
184,199,Nama Khoi Local Municipality,NC062,Northern Cape
185,200,Ndlambe Local Municipality,EC105,Eastern Cape
186,201,Ndwedwe Local Municipality,KZN293,KwaZulu-Natal
187,203,Newcastle Local Municipality,KZN252,KwaZulu-Natal
188,204,Ngqushwa Local Municipality,EC126,Eastern Cape
189,205,Ngwathe Local Municipality,FS203,Free State
190,206,Nkandla Local Municipality,KZN286,KwaZulu-Natal
191,207,Nketoana Local Municipality,FS193,Free State
192,208,Nkomazi Local Municipality,MP324,Mpumalanga
193,209,Nongoma Local Municipality,KZN265,KwaZulu-Natal
194,210,Nqutu Local Municipality,KZN242,KwaZulu-Natal
195,211,Ntabankulu Local Municipality,EC444,Eastern Cape
196,212,Nyandeni Local Municipality,EC155,Eastern Cape
197,213,Okhahlamba Local Municipality,KZN235,KwaZulu-Natal
198,214,Oudtshoorn Local Municipality,WC045,Western Cape
199,215,Overstrand Local Municipality,WC032,Western Cape
200,216,Phokwane Local Municipality,NC094,Northern Cape
201,217,Phumelela Local Municipality,FS195,Free State
202,218,Pixley ka Seme Local Municipality,MP304,Mpumalanga
203,219,Polokwane Local Municipality,LIM354,Limpopo
204,220,Port St Johns Local Municipality,EC154,Eastern Cape
205,221,Prince Albert Local Municipality,WC052,Western Cape
206,222,Ramotshere Moiloa Local Municipality,NW385,North West
207,223,Rand West City Local Municipality,GT485,Gauteng
208,224,Ratlou Local Municipality,NW381,North West
209,225,Ray Nkonyeni Local Municipality,KZN216,KwaZulu-Natal
210,226,Raymond Mhlaba Local Municipality,EC129,Eastern Cape
211,227,Renosterberg Local Municipality,NC075,Northern Cape
212,228,Richmond Local Municipality,KZN227,KwaZulu-Natal
213,229,Richtersveld Local Municipality,NC061,Northern Cape
214,230,Rustenburg Local Municipality,NW373,North West
215,231,Sakhisizwe Local Municipality,EC138,Eastern Cape
216,232,Saldanha Bay Local Municipality,WC014,Western Cape
217,233,Senqu Local Municipality,EC142,Eastern Cape
218,234,Setsoto Local Municipality,FS191,Free State
219,235,Siyancuma Local Municipality,NC078,Northern Cape
220,236,Siyathemba Local Municipality,NC077,Northern Cape
221,237,Sol Plaatje Local Municipality,NC091,Northern Cape
222,238,Stellenbosch Local Municipality,WC024,Western Cape
223,239,Steve Tshwete Local Municipality,MP313,Mpumalanga
224,240,Sundays River Valley Local Municipality,EC106,Eastern Cape
