geo_level,geo_code,geoid,name,total,Completed,Completed-Female,Completed-Male,Not completed,Not completed-Female,Not completed-Male
municipality,ETH,municipality-ETH,eThekwini,122179,95261,50579,44682,26918,10974,15944
municipality,KZN216,municipality-KZN216,Hibiscus Coast,10331,7062,3968,3094,3269,1375,1894
municipality,KZN227,municipality-KZN227,Richmond,2683,1815,941,874,868,378,490
municipality,KZN241,municipality-KZN241,Endumeni,2860,2049,1077,972,811,326,485
municipality,KZN253,municipality-KZN253,Emadlangeni,1473,933,485,448,540,207,333
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,8188,4620,2617,2003,3568,1473,2095
municipality,KZN282,municipality-KZN282,uMhlathuze,13037,9685,5214,4471,3352,1382,1970
municipality,KZN292,municipality-KZN292,KwaDukuza,8441,5787,3235,2552,2654,1198,1456
municipality,KZN433,municipality-KZN433,Greater Kokstad,2692,1660,956,704,1032,450,582
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,5688,3476,1957,1519,2212,1034,1178
municipality,LIM352,municipality-LIM352,Aganang,7230,5191,2781,2410,2039,721,1318
municipality,LIM364,municipality-LIM364,Mookgopong,903,587,316,271,316,123,193
municipality,LIM367,municipality-LIM367,Mogalakwena,15250,10979,5879,5100,4271,1623,2648
municipality,LIM471,municipality-LIM471,Ephraim Mogale,5698,3551,1947,1604,2147,822,1325
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,11539,7189,4111,3078,4350,1591,2759
municipality,LIM473,municipality-LIM473,Makhuduthamaga,13575,9308,5224,4084,4267,1479,2788
municipality,LIM474,municipality-LIM474,Fetakgomo,4659,3426,1905,1521,1233,423,810
municipality,LIM475,municipality-LIM475,Greater Tubatse,14585,10286,5617,4669,4299,1609,2690
municipality,MP301,municipality-MP301,Albert Luthuli,9785,7251,4002,3249,2534,956,1578
municipality,MP302,municipality-MP302,Msukaligwa,5789,4030,2151,1879,1759,687,1072
municipality,MP304,municipality-MP304,Pixley Ka Seme,3621,2629,1465,1164,992,349,643
municipality,MP305,municipality-MP305,Lekwa,4070,2753,1549,1204,1317,542,775
municipality,MP306,municipality-MP306,Dipaleseng,1576,987,524,463,589,238,351
municipality,MP307,municipality-MP307,Govan Mbeki,10230,7162,3939,3223,3068,1304,1764
municipality,MP312,municipality-MP312,Emalahleni,12271,8357,4585,3772,3914,1608,2306
municipality,MP313,municipality-MP313,Steve Tshwete,7250,5549,2991,2558,1701,672,1029
municipality,MP314,municipality-MP314,Emakhazeni,1633,1126,597,529,507,197,310
municipality,MP315,municipality-MP315,Thembisile,13506,8360,4796,3564,5146,1951,3195
municipality,MP316,municipality-MP316,Dr JS Moroka,11724,7717,4384,3333,4007,1481,2526
municipality,MP321,municipality-MP321,Thaba Chweu,3012,2175,1199,976,837,322,515
municipality,MP323,municipality-MP323,Umjindi,2318,1500,851,649,818,364,454
municipality,MP324,municipality-MP324,Nkomazi,21065,13600,7471,6129,7465,3179,4286
municipality,MP325,municipality-MP325,Bushbuckridge,29268,20107,11075,9032,9161,3603,5558
municipality,NW371,municipality-NW371,Moretele,7486,5276,2914,2362,2210,815,1395
municipality,NW372,municipality-NW372,Madibeng,13891,10148,5436,4712,3743,1494,2249
municipality,NW374,municipality-NW374,Kgetlengrivier,1606,937,501,436,669,303,366
municipality,NW375,municipality-NW375,Moses Kotane,8719,6440,3342,3098,2279,834,1445
municipality,NW381,municipality-NW381,Ratlou,4831,2413,1362,1051,2418,1008,1410
municipality,NW382,municipality-NW382,Tswaing,5182,2690,1453,1237,2492,1060,1432
municipality,NW383,municipality-NW383,Mafikeng,12140,8138,4441,3697,4002,1693,2309
municipality,NW385,municipality-NW385,Ramotshere Moiloa,5753,3607,1970,1637,2146,884,1262
municipality,NW392,municipality-NW392,Naledi,2434,1402,781,621,1032,488,544
municipality,NW393,municipality-NW393,Mamusa,2363,1312,686,626,1051,457,594
municipality,NW394,municipality-NW394,Greater Taung,8180,4727,2666,2061,3453,1336,2117
municipality,NW397,municipality-NW397,Kagisano/Molopo,4591,2220,1292,928,2371,956,1415
municipality,NW401,municipality-NW401,Ventersdorp,1754,892,468,424,862,391,471
municipality,NW402,municipality-NW402,Tlokwe City Council,4775,3307,1778,1529,1468,593,875
municipality,NW403,municipality-NW403,City of Matlosana,13435,9054,4853,4201,4381,1877,2504
municipality,NW404,municipality-NW404,Maquassi Hills,2634,1475,790,685,1159,538,621
municipality,NC061,municipality-NC061,Richtersveld,371,249,133,116,122,38,84
municipality,NC064,municipality-NC064,Kamiesberg,255,146,65,81,109,35,74
municipality,NC065,municipality-NC065,Hantam,722,473,247,226,249,87,162
municipality,NC066,municipality-NC066,Karoo Hoogland,383,184,91,93,199,84,115
municipality,NC067,municipality-NC067,Khâi-Ma,332,204,92,112,128,43,85
municipality,NC072,municipality-NC072,Umsobomvu,1027,675,367,308,352,120,232
municipality,NC073,municipality-NC073,Emthanjeni,1622,1120,592,528,502,230,272
municipality,NC074,municipality-NC074,Kareeberg,354,207,118,89,147,72,75
municipality,NC075,municipality-NC075,Renosterberg,318,221,109,112,97,35,62
municipality,NC076,municipality-NC076,Thembelihle,556,365,183,182,191,87,104
municipality,NC078,municipality-NC078,Siyancuma,1384,909,500,409,475,204,271
municipality,NC081,municipality-NC081,Mier,242,155,82,73,87,39,48
municipality,NC082,municipality-NC082,Kai !Garib,2032,1275,702,573,757,328,429
municipality,NC083,municipality-NC083,//Khara Hais,3762,2649,1420,1229,1113,454,659
municipality,NC084,municipality-NC084,!Kheis,565,344,218,126,221,93,128
