Name,Code,Province
Indaka Local Municipality,KZN233,KwaZulu-Natal
Umtshezi Local Municipality,KZN234,KwaZulu-Natal
Imbabazane Local Municipality,KZN236,KwaZulu-Natal
Big 5 False Bay Local Municipality,KZN273,KwaZulu-Natal
Hlabisa Local Municipality,KZN274,KwaZulu-Natal
Ntambanana Local Municipality,KZN283,KwaZulu-Natal
Ingwe Local Municipality,KZN431,KwaZulu-Natal
Kwa Sani Local Municipality,KZN432,KwaZulu-Natal
Bohlabela District Municipality,CBDC4,Mpumalanga/Limpopo
Mutale Local Municipality,LIM342,Limpopo
Aganang Local Municipality,LIM352,Limpopo
Mookgopong Local Municipality,LIM364,Limpopo
Modimolle Local Municipality,LIM365,Limpopo
Fetakgomo Local Municipality,LIM474,Limpopo
Greater Tubatse Local Municipality,LIM475,Limpopo
Umjindi Local Municipality,MP323,Mpumalanga
Kagisano Local Municipality,NW391,North West
Molopo Local Municipality,NW395,North West
Ventersdorp Local Municipality,NW401,North West
Tlokwe Local Municipality,NW402,North West
Mier Local Municipality,NC081,Northern Cape
//Khara Hais Local Municipality,NC083,Northern Cape
South Africa,ZA,South Africa
