geo_level,geo_code,geoid,name,total,Income-poor,Income-poor-Black African,Income-poor-Black African-Female,Income-poor-Black African-Male,Income-poor-Coloured,Income-poor-Coloured-Female,Income-poor-Coloured-Male,Income-poor-Indian or Asian,Income-poor-Indian or Asian-Female,Income-poor-Indian or Asian-Male,Income-poor-Other,Income-poor-Other-Female,Income-poor-Other-Male,Income-poor-White,Income-poor-White-Female,Income-poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,NMA,municipality-NMA,Nelson Mandela Bay,179719,103507,77510,40577,36933,23882,12385,11497,411,211,200,518,195,323,1186,586,600,76212,35518,17735,17783,20491,10364,10127,1414,680,734,1209,416,793,17580,8657,8923
municipality,FS164,municipality-FS164,Naledi,4165,3253,3179,1686,1493,59,32,27,5,2,3,4,0,4,6,1,5,912,813,403,410,6,3,3,14,2,12,3,0,3,76,39,37
municipality,FS191,municipality-FS191,Setsoto,19086,15272,15081,8070,7011,104,49,55,20,9,11,10,3,7,57,29,28,3814,3114,1499,1615,78,45,33,115,55,60,19,4,15,488,246,242
municipality,FS196,municipality-FS196,Mantsopa,8872,6580,6296,3336,2960,212,107,105,15,6,9,12,5,7,45,21,24,2292,1861,892,969,123,60,63,39,20,19,26,6,20,243,129,114
municipality,MAN,municipality-MAN,Mangaung,129854,70682,67372,35685,31687,2527,1306,1221,93,36,57,84,32,52,606,311,295,59172,44842,22438,22404,3918,2033,1885,421,147,274,252,77,175,9739,4947,4792
municipality,EKU,municipality-EKU,Ekurhuleni,460657,203428,195600,103678,91922,4561,2409,2152,824,363,461,510,191,319,1933,955,978,257229,196486,95670,100816,8927,4538,4389,7008,3304,3704,1337,451,886,43471,21841,21630
municipality,GT422,municipality-GT422,Midvaal,12511,4675,4341,2317,2024,47,29,18,7,5,2,19,9,10,261,128,133,7836,4013,1787,2226,168,85,83,67,40,27,28,12,16,3560,1777,1783
municipality,GT484,municipality-GT484,Merafong City,27791,13448,13124,7010,6114,160,87,73,14,5,9,14,4,10,136,75,61,14343,11927,5794,6133,139,62,77,68,25,43,43,8,35,2166,1086,1080
municipality,JHB,municipality-JHB,City of Johannesburg,597108,232585,217849,115594,102255,10590,5418,5172,1902,928,974,808,378,430,1436,691,745,364523,277434,138940,138494,24979,12610,12369,20422,9983,10439,2088,887,1201,39600,19707,19893
municipality,TSH,municipality-TSH,City of Tshwane,419950,163530,158286,83618,74668,1919,1018,901,745,337,408,452,194,258,2128,1052,1076,256420,189991,94786,95205,6399,3273,3126,5230,2460,2770,1382,521,861,53418,26706,26712
