,mun_code,mun_name,province,Adult_emp,overcrowding,empSector,difficulty,typeDwelling,circumstance_measure
34,EC131,Inxuba Yethemba,Eastern Cape,0.644391188127938,0.8710308222367074,0.75502351432236,0.90380859375,0.9798379672251887,0.8308184171324389
35,EC132,Tsolwana,Eastern Cape,0.333552956679295,0.8071486596263201,0.6318493150684932,0.904036029793868,0.865640532307199,0.708445498695035
36,EC133,Inkwanca,Eastern Cape,0.4503948667324778,0.8039559339008513,0.7199341021416804,0.9066459787949315,0.9719004190288391,0.770566260119756
37,EC134,Lukanji,Eastern Cape,0.4662729511867443,0.8324549472968378,0.6603351955307263,0.8916983467421095,0.8924207444112844,0.7486364370335405
38,EC136,Emalahleni,Eastern Cape,0.24546304957904583,0.7002678241595862,0.7078825347758887,0.8820031904094359,0.5527501023611301,0.6176733402570174
39,EC137,Engcobo,Eastern Cape,0.22408652846148513,0.4560733656865544,0.717577706323687,0.9070629242340855,0.2603250641573995,0.5130251177726424
40,EC138,Sakhisizwe,Eastern Cape,0.39008585776769805,0.6973170317541179,0.6347256347256347,0.9051716644936983,0.6100430891614186,0.6474686555805136
41,EC141,Elundini,Eastern Cape,0.28746649039697403,0.7127988958107957,0.6638176638176638,0.904649119456011,0.3113193678794561,0.5760103074721802
42,EC142,Senqu,Eastern Cape,0.3579723850955173,0.7175185475151922,0.5539622641509434,0.8791178659563633,0.7140126451992354,0.6445167415834503
43,EC143,Maletswai,Eastern Cape,0.5810692375109553,0.8132198952879581,0.6124093473005641,0.9203166226912929,0.8676223685909854,0.7589274942763512
44,EC153,Ngquza Hill,Eastern Cape,0.2123266296809986,0.7641390792992897,0.7061745919091554,0.9176176562471287,0.3753650212855786,0.5951245956844302
45,EC154,Port St Johns,Eastern Cape,0.17053797087495487,0.7636646930507947,0.8189723320158103,0.9281691032213151,0.23278065199775602,0.5828249502321262
46,EC155,Nyandeni,Eastern Cape,0.23927227699195122,0.5968662315962042,0.7516758962401632,0.9140436646129119,0.3049358202654743,0.5613587779413409
47,EC156,Mhlontlo,Eastern Cape,0.24271720504360725,0.7402624131721122,0.7454945054945055,0.9007596703621185,0.3217342428655374,0.5901936073875762
48,EC441,Matatiele,Eastern Cape,0.3407982937233394,0.7083687166141625,0.6105559825775044,0.8741707390319147,0.48788316482105604,0.6043553793535954
49,EC442,Umzimvubu,Eastern Cape,0.2880824138471997,0.8150427536626546,0.7017602125539688,0.8776477849788177,0.3606893067042523,0.6086444943493787
