,geo_code,name,total,less_1km,less_1km_Female,less_1km_Male,more_1km,more_1km_Female,more_1km_Male,No_piped_water,No_piped_water_Female,No_piped_water_Male,On_site,On_site_Female,On_site_Male,province
102,KZN275,Mtubatuba,37330,6275,3181,3094,923,452,471,13313,6903,6410,16819,8757,8062,KwaZulu-Natal
103,KZN281,Mfolozi,26156,7567,3811,3756,607,280,327,4895,2458,2437,13087,6668,6419,KwaZulu-Natal
104,KZN283,Ntambanana,16572,7275,3718,3557,421,218,203,5263,2728,2535,3613,1760,1853,KwaZulu-Natal
105,KZN284,uMlalazi,45246,14161,7208,6953,2245,1177,1068,13446,6939,6507,15394,7893,7501,KwaZulu-Natal
106,KZN285,Mthonjaneni,9679,2606,1337,1269,250,117,133,3358,1760,1598,3465,1792,1673,KwaZulu-Natal
107,KZN286,Nkandla,24762,3968,2143,1825,214,114,100,7993,4162,3831,12587,6562,6025,KwaZulu-Natal
108,KZN291,Mandeni,29241,8825,4411,4414,700,376,324,6669,3351,3318,13047,6608,6439,KwaZulu-Natal
109,KZN293,Ndwedwe,29627,9059,4495,4564,334,171,163,8825,4426,4399,11409,5864,5545,KwaZulu-Natal
110,KZN294,Maphumulo,20726,6246,3314,2932,479,274,205,11168,5924,5244,2833,1490,1343,KwaZulu-Natal
111,KZN431,Ingwe,20849,5340,2664,2676,466,243,223,9410,4897,4513,5633,2687,2946,KwaZulu-Natal
112,KZN432,Kwa Sani,2279,223,100,123,11,6,5,603,281,322,1442,651,791,KwaZulu-Natal
113,KZN434,Ubuhlebezwe,21087,8677,4298,4379,437,221,216,8321,4216,4105,3652,1846,1806,KwaZulu-Natal
114,KZN435,Umzimkhulu,39439,13467,7114,6353,532,290,242,19840,10317,9523,5600,2925,2675,Limpopo
115,LIM331,Greater Giyani,57597,20441,10461,9980,3248,1665,1583,8449,4350,4099,25459,12994,12465,Limpopo
116,LIM332,Greater Letaba,50121,22472,11216,11256,1177,599,578,4836,2437,2399,21636,10552,11084,Limpopo
117,LIM333,Greater Tzaneen,82787,24425,12422,12003,2508,1307,1201,22025,11090,10935,33829,16640,17189,Limpopo
118,LIM335,Maruleng,20842,7661,3871,3790,260,141,119,3900,1959,1941,9021,4514,4507,Limpopo
119,LIM341,Musina,12960,2242,1160,1082,52,24,28,737,284,453,9929,5295,4634,Limpopo
120,LIM342,Mutale,20610,12127,6123,6004,470,239,231,2352,1165,1187,5661,2819,2842,Limpopo
121,LIM343,Thulamela,144251,59418,29878,29540,4782,2476,2306,14740,7286,7454,65311,32907,32404,Limpopo
122,LIM344,Makhado,110091,45961,23022,22939,2801,1412,1389,14783,7454,7329,46546,22809,23737,Limpopo
123,LIM351,Blouberg,36570,13547,6854,6693,936,496,440,6547,3417,3130,15540,7777,7763,Limpopo
124,LIM353,Molemole,23448,5016,2489,2527,326,160,166,5214,2554,2660,12892,6332,6560,Limpopo
125,LIM354,Polokwane,136584,33896,16905,16991,961,459,502,5093,2554,2539,96634,49331,47303,Limpopo
126,LIM355,Lepele-Nkumpi,48065,11470,5690,5780,523,282,241,11858,5978,5880,24214,12061,12153,Limpopo
127,LIM361,Thabazimbi,13364,2447,1098,1349,189,81,108,1049,431,618,9679,4583,5096,Limpopo
128,LIM362,Lephalale,24069,8239,4089,4150,117,59,58,625,306,319,15088,6673,8415,Limpopo
129,LIM365,Modimolle,12507,1332,690,642,149,70,79,625,310,315,10401,5157,5244,Limpopo
130,LIM366,Bela-Bela,11774,1132,577,555,296,155,141,397,190,207,9949,4861,5088,Eastern Cape
131,BUF,Buffalo City,141875,33279,16526,16753,1362,670,692,3348,1666,1682,103886,53322,50564,Eastern Cape
132,EC101,Camdeboo,9284,101,52,49,0,0,0,77,36,41,9106,4442,4664,Eastern Cape
133,EC105,Ndlambe,9715,864,437,427,17,13,4,447,199,248,8387,4161,4226,Eastern Cape
134,EC122,Mnquma,51892,19862,9418,10444,1259,617,642,19708,9380,10328,11063,6006,5057,Eastern Cape
135,EC128,Nxuba,4204,311,144,167,0,0,0,99,46,53,3794,1864,1930,Eastern Cape
136,EC135,Intsika Yethu,27290,17324,8015,9309,515,235,280,6620,3023,3597,2831,1422,1409,Eastern Cape
137,EC144,Gariep,5930,147,66,81,0,0,0,98,46,52,5685,2717,2968,Eastern Cape
138,EC157,King Sabata Dalindyebo,105336,22473,11294,11179,1594,893,701,45948,22792,23156,35321,19499,15822,Eastern Cape
139,NMA,Nelson Mandela Bay,212990,13950,7080,6870,567,285,282,1811,847,964,196662,99564,97098,Eastern Cape
140,FS164,Naledi,4787,141,82,59,5,1,4,104,56,48,4537,2304,2233,Free State
141,FS191,Setsoto,21746,1434,781,653,117,51,66,361,180,181,19834,10139,9695,Free State
142,FS196,Mantsopa,9789,270,141,129,3,2,1,100,49,51,9416,4768,4648,Free State
143,MAN,Mangaung,152439,12155,6406,5749,449,233,216,2470,1254,1216,137365,69118,68247,Free State
144,EKU,Ekurhuleni,565236,50525,23037,27488,2195,986,1209,5818,2729,3089,506698,254103,252595,Gauteng
145,GT422,Midvaal,15716,1723,825,898,99,46,53,651,302,349,13243,6640,6603,Gauteng
146,GT484,Merafong City,33873,4806,2403,2403,137,84,53,369,179,190,28561,14241,14320,Gauteng
147,JHB,City of Johannesburg,787979,50664,22783,27881,1079,518,561,10437,5021,5416,725799,368998,356801,Gauteng
148,TSH,City of Tshwane,548133,31277,15138,16139,1076,516,560,17115,8003,9112,498665,253007,245658,Gauteng
149,ETH,eThekwini,706603,90821,44971,45850,3970,1996,1974,20985,10933,10052,590827,299765,291062,KwaZulu-Natal
150,KZN216,Hibiscus Coast,50269,26962,13816,13146,922,481,441,2177,1025,1152,20208,10268,9940,KwaZulu-Natal
151,KZN227,Richmond,12857,5480,2703,2777,208,117,91,2311,1208,1103,4858,2357,2501,KwaZulu-Natal
152,KZN241,Endumeni,13250,1108,517,591,170,87,83,1552,765,787,10420,5115,5305,KwaZulu-Natal
153,KZN253,Emadlangeni,6592,1424,701,723,73,16,57,3337,1524,1813,1758,867,891,KwaZulu-Natal
154,KZN271,Umhlabuyalingana,33602,8653,4486,4167,973,509,464,13831,7113,6718,10145,5277,4868,KwaZulu-Natal
155,KZN282,uMhlathuze,73006,4092,2136,1956,214,115,99,2412,1234,1178,66288,34775,31513,KwaZulu-Natal
156,KZN292,KwaDukuza,45519,20237,10256,9981,248,118,130,2855,1454,1401,22179,11303,10876,KwaZulu-Natal
157,KZN433,Greater Kokstad,13666,3182,1648,1534,141,65,76,421,207,214,9922,5183,4739,KwaZulu-Natal
158,LIM334,Ba-Phalaborwa,30398,3655,1867,1788,458,268,190,685,356,329,25600,13006,12594,KwaZulu-Natal
159,LIM352,Aganang,28069,9551,4663,4888,222,120,102,1436,659,777,16860,8489,8371,Limpopo
160,LIM364,Mookgopong,6115,303,139,164,43,18,25,173,70,103,5596,2685,2911,Limpopo
161,LIM367,Mogalakwena,64675,19130,9663,9467,740,367,373,5155,2568,2587,39650,19919,19731,Limpopo
162,LIM471,Ephraim Mogale,25314,3237,1650,1587,159,86,73,4045,1923,2122,17873,8867,9006,Limpopo
163,LIM472,Elias Motsoaledi,52865,9531,4808,4723,878,407,471,18938,9562,9376,23518,11839,11679,Limpopo
164,LIM473,Makhuduthamaga,56904,22986,11735,11251,1279,659,620,15240,7727,7513,17399,8900,8499,Limpopo
165,LIM474,Fetakgomo,19288,10766,5511,5255,225,115,110,2209,1145,1064,6088,3099,2989,Limpopo
166,LIM475,Greater Tubatse,71772,31482,16063,15419,2376,1228,1148,18756,9533,9223,19158,9615,9543,Limpopo
167,MP301,Albert Luthuli,41790,4493,2332,2161,142,72,70,8261,4138,4123,28894,14813,14081,Limpopo
168,MP302,Msukaligwa,29083,3285,1661,1624,276,145,131,2911,1443,1468,22611,11332,11279,Mpumalanga
169,MP304,Pixley Ka Seme,16030,1485,722,763,62,31,31,1398,721,677,13085,6692,6393,Mpumalanga
170,MP305,Lekwa,21441,1331,659,672,96,46,50,547,256,291,19467,9414,10053,Mpumalanga
171,MP306,Dipaleseng,7963,666,339,327,54,35,19,356,186,170,6887,3356,3531,Mpumalanga
172,MP307,Govan Mbeki,56435,2135,966,1169,107,61,46,541,245,296,53652,25795,27857,Mpumalanga
173,MP312,Emalahleni,75354,7567,3318,4249,403,184,219,2850,1248,1602,64534,31493,33041,Mpumalanga
174,MP313,Steve Tshwete,41506,4692,2189,2503,147,64,83,775,372,403,35892,17404,18488,Mpumalanga
175,MP314,Emakhazeni,8629,624,317,307,25,12,13,426,203,223,7554,3703,3851,Mpumalanga
176,MP315,Thembisile,64657,3568,1836,1732,43,16,27,2088,1051,1037,58958,29756,29202,Mpumalanga
177,MP316,Dr JS Moroka,52044,3974,1992,1982,85,44,41,10200,5050,5150,37785,18855,18930,Mpumalanga
178,MP321,Thaba Chweu,17470,1664,799,865,113,50,63,984,452,532,14709,7223,7486,Mpumalanga
179,MP323,Umjindi,12954,2466,1258,1208,89,45,44,600,318,282,9799,4623,5176,Mpumalanga
180,MP324,Nkomazi,92377,18036,9318,8718,3041,1559,1482,16857,8757,8100,54443,27639,26804,Mpumalanga
181,MP325,Bushbuckridge,125831,42968,22286,20682,4838,2469,2369,25645,13134,12511,52380,26654,25726,Mpumalanga
182,NW371,Moretele,35188,5217,2614,2603,301,169,132,3599,1779,1820,26071,12974,13097,Mpumalanga
183,NW372,Madibeng,87187,12052,5734,6318,1059,512,547,12694,6147,6547,61382,29560,31822,North West
184,NW374,Kgetlengrivier,9242,1303,692,611,48,29,19,579,308,271,7312,3458,3854,North West
185,NW375,Moses Kotane,43030,15664,7756,7908,368,193,175,2872,1406,1466,24126,11939,12187,North West
186,NW381,Ratlou,19694,13469,6921,6548,1002,548,454,2365,1228,1137,2858,1358,1500,North West
187,NW382,Tswaing,23262,10164,5150,5014,209,120,89,2269,1196,1073,10620,5316,5304,North West
188,NW383,Mafikeng,59324,15467,7947,7520,540,281,259,12017,6210,5807,31300,15918,15382,North West
189,NW385,Ramotshere Moiloa,26939,9291,4736,4555,276,143,133,2384,1181,1203,14988,7493,7495,North West
190,NW392,Naledi,11780,2260,1178,1082,159,84,75,210,116,94,9151,4596,4555,North West
191,NW393,Mamusa,11163,2000,1049,951,61,33,28,423,195,228,8679,4313,4366,North West
192,NW394,Greater Taung,33781,25422,13070,12352,856,437,419,740,395,345,6763,3377,3386,North West
193,NW397,Kagisano/Molopo,18714,10262,5505,4757,447,248,199,1967,981,986,6038,2947,3091,North West
194,NW401,Ventersdorp,9894,2698,1354,1344,62,41,21,236,121,115,6898,3427,3471,North West
195,NW402,Tlokwe City Council,33713,1558,761,797,33,23,10,590,329,261,31532,16044,15488,North West
196,NW403,City of Matlosana,71153,2088,1074,1014,96,51,45,883,405,478,68086,34034,34052,North West
197,NW404,Maquassi Hills,14315,1737,849,888,44,19,25,272,122,150,12262,6215,6047,North West
198,NC061,Richtersveld,1767,18,5,13,1,0,1,14,8,6,1734,814,920,North West
199,NC064,Kamiesberg,1602,4,1,3,0,0,0,16,7,9,1582,732,850,Northern Cape
200,NC065,Hantam,3441,77,37,40,1,1,0,15,7,8,3348,1627,1721,Northern Cape
201,NC066,Karoo Hoogland,1763,16,10,6,2,1,1,7,2,5,1738,888,850,Northern Cape
202,NC067,Khâi-Ma,2254,139,60,79,5,4,1,31,11,20,2079,1003,1076,Northern Cape
203,NC072,Umsobomvu,4859,260,119,141,1,0,1,34,21,13,4564,2280,2284,Northern Cape
204,NC073,Emthanjeni,7299,164,85,79,6,1,5,37,15,22,7092,3553,3539,Northern Cape
205,NC074,Kareeberg,1866,162,91,71,0,0,0,23,9,14,1681,862,819,Northern Cape
206,NC075,Renosterberg,1723,63,29,34,1,1,0,48,21,27,1611,768,843,Northern Cape
207,NC076,Thembelihle,2740,397,208,189,49,27,22,3,0,3,2291,1132,1159,Northern Cape
208,NC078,Siyancuma,6328,976,524,452,5,4,1,198,103,95,5149,2521,2628,Northern Cape
209,NC081,Mier,1217,14,6,8,3,3,0,36,13,23,1164,593,571,Northern Cape
210,NC082,Kai !Garib,14129,1157,567,590,20,8,12,560,246,314,12392,5751,6641,Northern Cape
211,NC083,//Khara Hais,17117,821,453,368,25,12,13,278,137,141,15993,7921,8072,Northern Cape
212,NC084,!Kheis,2608,265,133,132,16,8,8,236,124,112,2091,1034,1057,Northern Cape
213,NC086,Kgatelopele,3317,26,13,13,3,0,3,29,11,18,3259,1593,1666,Northern Cape
214,NC091,Sol Plaatjie,44617,3553,1905,1648,76,35,41,124,63,61,40864,20469,20395,Northern Cape
215,NC092,Dikgatlong,8196,1083,585,498,50,27,23,165,84,81,6898,3419,3479,Northern Cape
216,NC093,Magareng,4381,244,127,117,51,27,24,150,74,76,3936,1920,2016,Northern Cape
217,NC451,Joe Morolong,16196,12247,6435,5812,659,337,322,1366,734,632,1924,901,1023,Northern Cape
218,NC452,Ga-Segonyana,17924,10412,5263,5149,472,261,211,158,77,81,6882,3424,3458,Northern Cape
219,NC453,Gamagara,7464,208,100,108,2,0,2,32,12,20,7222,3395,3827,Northern Cape
220,CPT,City of Cape Town,681640,68428,35830,32598,1923,1003,920,4333,2219,2114,606956,309082,297874,Northern Cape
221,WC011,Matzikama,12171,557,300,257,3,1,2,211,88,123,11400,5672,5728,Western Cape
222,WC013,Bergrivier,10599,150,86,64,395,329,66,46,27,19,10008,5113,4895,Western Cape
223,WC014,Saldanha Bay,17774,420,197,223,6,5,1,95,53,42,17253,8644,8609,Western Cape
224,WC015,Swartland,20434,599,310,289,1286,786,500,99,35,64,18450,9239,9211,Western Cape
