,geo_level,geo_code,geoid,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male
102,municipality,KZN275,municipality-KZN275,Mtubatuba,36276,24931,12601,12330,11345,6098,5247
103,municipality,KZN281,municipality-KZN281,Mfolozi,26098,17154,8535,8619,8944,4673,4271
104,municipality,KZN283,municipality-KZN283,Ntambanana,16405,8390,4108,4282,8015,4222,3793
105,municipality,KZN284,municipality-KZN284,uMlalazi,43175,27419,13712,13707,15756,8465,7291
106,municipality,KZN285,municipality-KZN285,Mthonjaneni,9286,5911,2937,2974,3375,1860,1515
107,municipality,KZN286,municipality-KZN286,Nkandla,23899,15984,8120,7864,7915,4351,3564
108,municipality,KZN291,municipality-KZN291,Mandeni,28589,23736,11713,12023,4853,2740,2113
109,municipality,KZN293,municipality-KZN293,Ndwedwe,29382,19351,9493,9858,10031,5333,4698
110,municipality,KZN294,municipality-KZN294,Maphumulo,20518,15500,8032,7468,5018,2800,2218
111,municipality,KZN431,municipality-KZN431,Ingwe,20490,14591,7201,7390,5899,3146,2753
112,municipality,KZN432,municipality-KZN432,Kwa Sani,1506,1281,577,704,225,116,109
113,municipality,KZN434,municipality-KZN434,Ubuhlebezwe,20576,15286,7528,7758,5290,2838,2452
114,municipality,KZN435,municipality-KZN435,Umzimkhulu,38765,33093,17041,16052,5672,3263,2409
115,municipality,LIM331,municipality-LIM331,Greater Giyani,56757,49482,24999,24483,7275,4063,3212
116,municipality,LIM332,municipality-LIM332,Greater Letaba,49092,45115,22266,22849,3977,2116,1861
117,municipality,LIM333,municipality-LIM333,Greater Tzaneen,81999,73725,36462,37263,8274,4698,3576
118,municipality,LIM335,municipality-LIM335,Maruleng,20328,18844,9399,9445,1484,844,640
119,municipality,LIM341,municipality-LIM341,Musina,11758,9134,4635,4499,2624,1522,1102
120,municipality,LIM342,municipality-LIM342,Mutale,20148,17617,8739,8878,2531,1412,1119
121,municipality,LIM343,municipality-LIM343,Thulamela,140302,121947,60598,61349,18355,10050,8305
122,municipality,LIM344,municipality-LIM344,Makhado,107827,96722,47666,49056,11105,6153,4952
123,municipality,LIM351,municipality-LIM351,Blouberg,36014,32154,16167,15987,3860,2145,1715
124,municipality,LIM353,municipality-LIM353,Molemole,22272,20477,9985,10492,1795,988,807
125,municipality,LIM354,municipality-LIM354,Polokwane,128257,117531,58974,58557,10726,6121,4605
126,municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,47073,43640,21626,22014,3433,1949,1484
127,municipality,LIM361,municipality-LIM361,Thabazimbi,11155,9690,4489,5201,1465,792,673
128,municipality,LIM362,municipality-LIM362,Lephalale,21068,19122,9116,10006,1946,1027,919
129,municipality,LIM365,municipality-LIM365,Modimolle,11501,10445,5185,5260,1056,547,509
130,municipality,LIM366,municipality-LIM366,Bela-Bela,10872,9349,4541,4808,1523,854,669
131,municipality,BUF,municipality-BUF,Buffalo City,129749,103934,51912,52022,25815,14213,11602
132,municipality,EC101,municipality-EC101,Camdeboo,8048,6582,3181,3401,1466,795,671
133,municipality,EC105,municipality-EC105,Ndlambe,9394,7979,3876,4103,1415,772,643
134,municipality,EC122,municipality-EC122,Mnquma,48577,29085,13635,15450,19492,10005,9487
135,municipality,EC128,municipality-EC128,Nxuba,3803,3207,1515,1692,596,310,286
136,municipality,EC135,municipality-EC135,Intsika Yethu,26064,12433,5421,7012,13631,6630,7001
137,municipality,EC144,municipality-EC144,Gariep,5726,4732,2240,2492,994,528,466
138,municipality,EC157,municipality-EC157,King Sabata Dalindyebo,96109,61723,30742,30981,34386,18623,15763
139,municipality,NMA,municipality-NMA,Nelson Mandela Bay,202187,183455,91604,91851,18732,10270,8462
140,municipality,FS164,municipality-FS164,Naledi,4735,4069,2027,2042,666,395,271
141,municipality,FS191,municipality-FS191,Setsoto,21085,18077,9158,8919,3008,1661,1347
142,municipality,FS196,municipality-FS196,Mantsopa,9551,8021,4026,3995,1530,832,698
143,municipality,MAN,municipality-MAN,Mangaung,141271,124823,62790,62033,16448,9152,7296
144,municipality,EKU,municipality-EKU,Ekurhuleni,523587,449400,218626,230774,74187,42246,31941
145,municipality,GT422,municipality-GT422,Midvaal,14222,12807,6204,6603,1415,760,655
146,municipality,GT484,municipality-GT484,Merafong City,31420,27251,13445,13806,4169,2356,1813
147,municipality,JHB,municipality-JHB,City of Johannesburg,683217,569573,281859,287714,113644,63173,50471
148,municipality,TSH,municipality-TSH,City of Tshwane,481203,434785,217481,217304,46418,25960,20458
149,municipality,ETH,municipality-ETH,eThekwini,661650,553496,273842,279654,108154,60721,47433
150,municipality,KZN216,municipality-KZN216,Hibiscus Coast,48101,39778,19832,19946,8323,4701,3622
151,municipality,KZN227,municipality-KZN227,Richmond,12394,10386,5048,5338,2008,1154,854
152,municipality,KZN241,municipality-KZN241,Endumeni,12475,10099,4902,5197,2376,1292,1084
153,municipality,KZN253,municipality-KZN253,Emadlangeni,6340,4767,2228,2539,1573,796,777
154,municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33242,24183,12332,11851,9059,4856,4203
155,municipality,KZN282,municipality-KZN282,uMhlathuze,67000,54717,28342,26375,12283,6702,5581
156,municipality,KZN292,municipality-KZN292,KwaDukuza,44041,34761,17068,17693,9280,5319,3961
157,municipality,KZN433,municipality-KZN433,Greater Kokstad,12668,8556,4214,4342,4112,2359,1753
