,geo_code,name,province,total,0-14,15-24,25-34,35-44,45-54,55-64
49,EC442,Umzimvubu,Eastern Cape,187582,0.3882621999978676,0.21635871245641905,0.11099679073685108,0.08041283278779414,0.07280549306436651,0.061354500964911345
50,EC443,Mbizana,Eastern Cape,271224,0.4447135946671386,0.2231476565495679,0.10104931716957201,0.07097823201486594,0.0623248680057812,0.04336636875792703
51,EC444,Ntabankulu,Free State,119749,0.41793250883097144,0.2220895372821485,0.10355827606076043,0.07002981235751447,0.06687320979715906,0.053236352704406714
52,FS161,Letsemeng,Free State,38199,0.29851566794942275,0.18633995654336502,0.15966386554621848,0.12827560930914422,0.10366763527841043,0.06788135815073693
53,FS162,Kopanong,Free State,48383,0.29770787259988013,0.18068329785255152,0.1523675671206829,0.12303908397577662,0.09978711530909617,0.07705185705723085
54,FS163,Mohokare,Free State,33743,0.3223187031384287,0.19206946625966867,0.1506386509794624,0.11270485730373707,0.08867024271700798,0.06765847731381323
55,FS181,Masilonyana,Free State,62668,0.2999138316206038,0.1857088147060701,0.1522786749218102,0.12719410225314354,0.10852428671730388,0.06714750749984043
56,FS182,Tokologo,Free State,28768,0.31225667408231367,0.18621384872080088,0.15027113459399333,0.12566045606229143,0.09698275862068965,0.0688959955506118
57,FS183,Tswelopele,Free State,46914,0.3358485739864433,0.19132881442639724,0.15185232553182418,0.1093063904165068,0.0907191883019994,0.06509783859828623
58,FS184,Matjhabeng,Free State,402071,0.27487433811441264,0.19503520522494783,0.16547574930795805,0.1262239753675346,0.1228986920220558,0.06765223057619177
59,FS185,Nala,Free State,80434,0.32722480543053933,0.1873337145983042,0.1506452495213467,0.10949349777457294,0.09328144814381978,0.07279260014421762
60,FS192,Dihlabeng,Free State,127617,0.29623012608038113,0.1803678193344147,0.17081580040276767,0.1282979540343371,0.10033929648871232,0.06821975128705424
61,FS193,Nketoana,Free State,59943,0.32364079208581487,0.19371736482992175,0.15179420449426956,0.10695160402382263,0.09395592479522213,0.07033348347596884
62,FS194,Maluti a Phofung,Free State,343813,0.328763019432075,0.2170249525177931,0.14246988915486034,0.10695348925142446,0.08890297923580551,0.06175450026613304
63,FS195,Phumelela,Free State,46971,0.31581188392838133,0.19192693363990548,0.14870877775648805,0.1131336356475272,0.09791147729450086,0.07051159225905346
64,FS201,Moqhaka,Free State,159078,0.27115628811023523,0.18467041325638994,0.15696073624259796,0.12735890569406202,0.11420183809200518,0.07897383673418072
65,FS203,Ngwathe,Free State,119374,0.3022685006785397,0.1802402533214938,0.15091225895086033,0.11537688273828473,0.09724060515690183,0.07761321560808887
66,FS204,Metsimaholo,Free State,147126,0.26588774247923547,0.18764188518684666,0.19493495371314384,0.14024033821350407,0.10222530348136971,0.06409472153120455
67,FS205,Mafube,Gauteng,57097,0.3170919663029581,0.19195404311960348,0.15281013012942887,0.11082894022453019,0.09499623447816873,0.06751668213741528
68,GT421,Emfuleni,Gauteng,715503,0.25793043495275353,0.19536885240173696,0.18112153268399991,0.13804554278598413,0.1065921456653571,0.07054477759003107
