,municipality,province,Black,Coloured,Indian_Asian,White,Other
155,KZN282,KwaZulu-Natal,66903,652,2351,3266,149
156,KZN292,KwaZulu-Natal,38200,431,5662,1053,313
157,KZN433,KwaZulu-Natal,12396,1019,90,212,32
158,LIM334,KwaZulu-Natal,29337,79,51,994,20
159,LIM352,Limpopo,27950,27,27,30,66
160,LIM364,Limpopo,5718,27,18,333,39
161,LIM367,Limpopo,63128,89,307,1136,119
162,LIM471,Limpopo,25010,15,62,214,63
163,LIM472,Limpopo,52246,56,132,431,93
164,LIM473,Limpopo,56755,30,106,31,54
165,LIM474,Limpopo,19214,4,20,52,27
166,LIM475,Limpopo,71012,121,108,631,56
167,MP301,Limpopo,41102,122,179,339,84
168,MP302,Mpumalanga,26452,170,282,2165,95
169,MP304,Mpumalanga,15004,97,171,772,25
170,MP305,Mpumalanga,18492,647,216,2073,69
171,MP306,Mpumalanga,7416,39,48,461,12
172,MP307,Mpumalanga,47983,842,785,6898,229
173,MP312,Mpumalanga,64387,1274,609,9076,299
174,MP313,Mpumalanga,32384,1274,594,7341,175
175,MP314,Mpumalanga,7917,132,68,536,7
176,MP315,Mpumalanga,64101,144,281,48,157
177,MP316,Mpumalanga,51800,77,156,23,82
178,MP321,Mpumalanga,14814,517,103,1985,130
179,MP323,Mpumalanga,11685,267,119,899,19
180,MP324,Mpumalanga,91229,266,345,765,99
181,MP325,Mpumalanga,125399,157,152,141,70
182,NW371,Mpumalanga,35000,58,49,50,69
183,NW372,North West,79682,836,467,6108,383
184,NW374,North West,7724,203,84,1215,53
185,NW375,North West,42491,111,172,234,91
186,NW381,North West,19391,178,56,87,29
187,NW382,North West,21875,417,69,909,56
188,NW383,North West,57101,1287,447,497,95
189,NW385,North West,25755,257,175,719,97
190,NW392,North West,9061,1839,117,752,107
191,NW393,North West,10424,267,58,413,27
192,NW394,North West,33205,382,86,74,65
193,NW397,North West,18121,305,49,230,57
194,NW401,North West,9021,338,34,377,147
195,NW402,North West,21803,2199,394,9272,175
196,NW403,North West,60620,2550,629,7392,201
197,NW404,North West,13113,389,79,735,47
