,geo_code,name,total,At least one employed adult,No employed adult,province
143,MAN,Mangaung,145591,92507,53084,Free State
144,EKU,Ekurhuleni,561836,413641,148195,Gauteng
145,GT422,Midvaal,14948,12236,2712,Gauteng
146,GT484,Merafong City,33008,23747,9261,Gauteng
147,JHB,City of Johannesburg,764052,570203,193849,Gauteng
148,TSH,City of Tshwane,522354,383185,139169,Gauteng
149,ETH,eThekwini,693983,465005,228978,KwaZulu-Natal
150,KZN216,Hibiscus Coast,48912,31469,17443,KwaZulu-Natal
151,KZN227,Richmond,12450,6580,5870,KwaZulu-Natal
152,KZN241,Endumeni,12461,7786,4675,KwaZulu-Natal
153,KZN253,Emadlangeni,6375,3654,2721,KwaZulu-Natal
154,KZN271,Umhlabuyalingana,32957,8405,24552,KwaZulu-Natal
155,KZN282,uMhlathuze,68499,43122,25377,KwaZulu-Natal
156,KZN292,KwaDukuza,45149,31496,13653,KwaZulu-Natal
157,KZN433,Greater Kokstad,13438,8580,4858,KwaZulu-Natal
158,LIM334,Ba-Phalaborwa,29695,17010,12685,KwaZulu-Natal
159,LIM352,Aganang,26391,7681,18710,Limpopo
160,LIM364,Mookgopong,6030,3993,2037,Limpopo
161,LIM367,Mogalakwena,62232,25453,36779,Limpopo
162,LIM471,Ephraim Mogale,24718,8210,16508,Limpopo
163,LIM472,Elias Motsoaledi,51203,17382,33821,Limpopo
164,LIM473,Makhuduthamaga,55113,12400,42713,Limpopo
165,LIM474,Fetakgomo,18914,5729,13185,Limpopo
166,LIM475,Greater Tubatse,70307,28731,41576,Limpopo
167,MP301,Albert Luthuli,40684,17788,22896,Limpopo
168,MP302,Msukaligwa,28422,19254,9168,Mpumalanga
169,MP304,Pixley Ka Seme,15662,7284,8378,Mpumalanga
170,MP305,Lekwa,20606,14917,5689,Mpumalanga
171,MP306,Dipaleseng,7842,4857,2985,Mpumalanga
172,MP307,Govan Mbeki,55918,41843,14075,Mpumalanga
173,MP312,Emalahleni,74651,57658,16993,Mpumalanga
174,MP313,Steve Tshwete,40865,32789,8076,Mpumalanga
175,MP314,Emakhazeni,8383,5700,2683,Mpumalanga
176,MP315,Thembisile,63929,38131,25798,Mpumalanga
177,MP316,Dr JS Moroka,50997,22242,28755,Mpumalanga
